timestamp,timestamp_sample,device_id,bias,bias_var,innov,innov_var,innov_test_ratio
277513974,277315089,6780433,7.2590804,0.115719415,-0.27336264,12.421099,0.00066846056
277834171,277639833,6780433,7.2462125,0.11563859,-0.25528002,12.420849,0.0005829615
278483983,278289376,6780433,7.2356887,0.115643725,-0.14995718,12.420565,0.0002011642
279003987,278808973,6780433,7.225186,0.11564705,-0.15212059,12.420776,0.00020700687
279524145,279328533,6780433,7.207642,0.1156531,-0.3613162,12.420979,0.0011678218
280493979,280302805,6780433,7.167573,0.11559339,-0.15249395,12.420269,0.00020803275
281013982,280822383,6780433,7.153417,0.11560362,-0.21016312,12.420506,0.000395122
281473986,281277032,6780433,7.143199,0.115695074,-0.34371185,12.420203,0.0010568608
281993979,281796633,6780433,7.123941,0.11570293,-0.17512941,12.420534,0.00027436923
282513981,282316257,6780433,7.1097813,0.115709625,-0.16936302,12.42098,0.00025658944
282963992,282770889,6780433,7.1077375,0.11563116,0.07409382,12.420504,4.9111393e-05
283423981,283225534,6780433,7.1013885,0.11571975,-0.14904928,12.421719,0.00019871724
283943982,283745132,6780433,7.106546,0.11572473,0.11879158,12.421087,0.00012623193
284524014,284329683,6780433,7.1480494,0.115646556,0.20290995,12.423272,0.0003682376
284784027,284589483,6780433,7.144299,0.115649045,-0.15651608,12.423436,0.0002190956
285433995,285238983,6780433,7.1536107,0.115660034,0.15310001,12.43544,0.00020943381
286013985,285823533,6780433,7.158453,0.11559838,0.29647493,12.447963,0.0007845763
286473979,286278183,6780433,7.1389136,0.11571046,-0.39363956,12.459241,0.0013818579
286994016,286797804,6780433,7.115307,0.11574675,-0.37911797,12.472744,0.0012803957
287513981,287317387,6780433,7.0838513,0.115787044,-0.5220685,12.486816,0.0024252736
288034211,287836982,6780433,7.054253,0.11583099,-0.41963387,12.501019,0.0015651397
288483980,288291633,6780433,7.034498,0.11578824,-0.3456974,12.51286,0.0010611899
289003996,288811257,6780433,7.01702,0.11583727,-0.4507861,12.526143,0.0018025244
289523979,289330860,6780433,6.994199,0.115887746,-0.17152691,12.538441,0.0002607225
289913972,289720534,6780433,6.9984126,0.115926,0.12255955,12.546874,0.00013301978
290503993,290305089,6780433,6.9792905,0.116066806,-0.53937626,12.558512,0.002573967
291023977,290824683,6780433,6.946839,0.11611637,-0.19428301,12.567033,0.00033372935
291473974,291279370,6780433,6.9102445,0.116074465,-0.63225794,12.572954,0.0035327163
291994006,291798974,6780433,6.8699064,0.11611999,-0.39676237,12.578982,0.0013905063
292513971,292318533,6780433,6.8428226,0.11616565,-0.3279457,12.583856,0.0009496152
293034017,292838168,6780433,6.8112454,0.11621613,-0.614738,12.587751,0.0033357188
293483975,293292805,6780433,6.796507,0.11617259,-0.33877993,12.590019,0.0010128997
294003990,293812384,6780433,6.7751675,0.11621412,-0.37226915,12.592406,0.0012228208
294523986,294331983,6780433,6.727177,0.11625116,-0.78820133,12.594199,0.0054810187
294983975,294786633,6780433,6.6842327,0.116363846,-0.6083126,12.595796,0.0032642658
295503998,295306258,6780433,6.6285734,0.116393276,-0.8457165,12.596789,0.0063088066
296023978,295825833,6780433,6.5750136,0.11641913,-0.6985054,12.597497,0.0043034106
296993974,296800088,6780433,6.5001845,0.116375394,-0.17763758,12.597744,0.00027831356
297193974,296994974,6780433,6.5013494,0.11646592,0.1811328,12.598221,0.00028936265
307453988,307257034,6780433,10.39614,0.11674536,-2.5613394,18.788717,0.038796686
307513979,307321982,6780433,10.38122,0.116923764,-2.1026497,16.595522,0.029600596
307903997,307711683,6780433,10.266722,0.117325634,-1.9119349,13.110673,0.030979807
308423983,308231287,6780433,10.06784,0.117367856,-2.9032307,12.731171,0.07356178
308944018,308750889,6780433,9.856919,0.11727833,-2.776648,12.602696,0.06797288
309403995,309205534,6780433,9.670467,0.117253125,-2.5984344,12.558401,0.059737448
309923979,309725133,6780433,9.50921,0.117119096,-1.7861032,12.52674,0.028296487
310443983,310244732,6780433,9.393235,0.11698679,-1.1310949,12.502871,0.011369619
310893978,310699384,6780433,9.317982,0.116794206,-1.0703926,12.492726,0.010190289
311414161,311218983,6780433,9.231987,0.11667947,-1.0157614,12.484375,0.009182778
311933998,311738610,6780433,9.163261,0.11658513,-0.64150524,12.492264,0.0036603007
312453986,312258182,6780433,9.143274,0.11651876,-0.27079773,12.50225,0.0006517174
312904011,312712833,6780433,9.150746,0.11639061,0.22662544,12.511919,0.00045609038
313423985,313232453,6780433,9.1927,0.11635399,0.5245218,12.52418,0.0024408177
313943998,313752032,6780433,9.249267,0.11633075,0.91507816,12.536737,0.00742146
314403987,314206683,6780433,9.300064,0.11640361,0.83901405,12.547908,0.006233395
314923985,314726283,6780433,9.371301,0.11640019,1.0573473,12.55951,0.009890542
315443984,315245892,6780433,9.450213,0.11640445,1.2500753,12.5699835,0.013813227
316413979,316220133,6780433,9.616857,0.11634282,1.3915081,12.585404,0.017094713
316933998,316739733,6780433,9.722786,0.11635906,1.6918106,12.591765,0.025256569
317454024,317259373,6780433,9.834841,0.11637669,1.6608219,12.596822,0.02433003
317913986,317713984,6780433,9.9398775,0.11647621,1.5709257,12.600704,0.021760754
318424148,318233608,6780433,10.02764,0.11633092,1.6851854,12.602659,0.025037484
318943984,318753183,6780433,10.135049,0.116358414,1.1277275,12.60459,0.011210812
319923981,319727453,6780433,10.240721,0.11648584,0.6436205,12.606709,0.003651031
320443982,320247032,6780433,10.289603,0.116505034,0.4580574,12.606912,0.0018492201
320893974,320701682,6780433,10.342336,0.11643591,0.79263306,12.606412,0.005537457
321414145,321221303,6780433,10.414194,0.11645027,0.9802675,12.606089,0.008469668
321934002,321740890,6780433,10.46519,0.116462335,0.8872328,12.605597,0.0069385585
322453979,322260489,6780433,10.537577,0.11647236,1.7226305,12.605015,0.02615763
322914008,322715133,6780433,10.591482,0.11656338,0.3796816,12.604928,0.0012707385
323433989,323234733,6780433,10.614937,0.11657027,0.39661503,12.604383,0.0013866735
323823978,323624478,6780433,10.623077,0.11657456,-0.27029514,12.604023,0.0006440577
324343983,324144034,6780433,10.621335,0.11657935,-0.31623268,12.603624,0.00088160805
324924149,324728609,6780433,10.600497,0.11650297,-0.4209442,12.602869,0.0015622019
325443989,325248183,6780433,10.575299,0.116517104,-0.38968754,12.602708,0.0013388338
325893979,325702833,6780433,10.554155,0.11644406,-0.15645695,12.602193,0.00021582466
326413979,326222454,6780433,10.537772,0.11645461,-0.46529388,12.60213,0.0019088343
326933991,326742040,6780433,10.5236025,0.11646362,-0.14351273,12.601983,0.00018159313
327454024,327261633,6780433,10.513612,0.11647122,-0.22356224,12.601762,0.00044067978
327914151,327716282,6780433,10.508804,0.11656061,-0.14996052,12.601992,0.00019827692
328433981,328235889,6780433,10.506381,0.1165661,-0.118769646,12.601818,0.0001243756
328883976,328690533,6780433,10.502818,0.11648649,0.16937542,12.601311,0.00025295457
329924144,329729732,6780433,10.4783745,0.11649403,-0.27005672,12.60135,0.0006430584
330383974,330184383,6780433,10.468298,0.11658046,-0.17673111,12.6018715,0.0002753902
330833982,330639033,6780433,10.459312,0.11649918,-0.079491615,12.601575,5.5715405e-05
331413978,331223610,6780433,10.454189,0.1164198,-0.29267406,12.601377,0.00075528
331933992,331743183,6780433,10.427557,0.116433315,-0.2884426,12.601623,0.00073358405
332323970,332132890,6780433,10.403921,0.1164423,-0.29165363,12.601799,0.0007499973
332583974,332392712,6780433,10.399696,0.11644781,-0.113414764,12.601905,0.00011341238
