timestamp,timestamp_sample,position_drift_rate_horizontal_m_s,position_drift_rate_vertical_m_s,filtered_horizontal_speed_m_s,checks_passed,check_fail_gps_fix,check_fail_min_sat_count,check_fail_max_pdop,check_fail_max_horz_err,check_fail_max_vert_err,check_fail_max_spd_err,check_fail_max_horz_drift,check_fail_max_vert_drift,check_fail_max_horz_spd_err,check_fail_max_vert_spd_err
249042535,248843863,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
250042498,249842862,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
251042532,250842861,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
252042503,251842861,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
253042549,252842867,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
254032513,253841102,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
255032537,254841089,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
256042504,255842075,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
258042542,257842056,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
259042538,258842861,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
260042526,259843860,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
261042551,260842859,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
262042501,261842861,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
263042535,262842862,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
264042507,263842862,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
265042562,264842862,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
266032513,265841117,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
267032539,266837419,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
268042498,267842079,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
269032557,268838977,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
270032513,269841078,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
271042560,270842862,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
272042535,271842861,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
273042502,272842066,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
274042536,273842860,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
275042525,274842860,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
276032543,275841362,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
277032506,276841311,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
278032577,277841309,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
279042504,278842065,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
281032680,280841361,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
282032712,281841289,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
283042543,282842060,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
284032710,283841309,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
285032502,284839868,nan,nan,nan,1,0,0,0,0,0,1,0,0,0,0
286032577,285839070,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
287032532,286839045,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
288032565,287839032,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
289032505,288837861,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
290032544,289837861,nan,nan,nan,1,0,0,0,0,0,1,0,0,0,0
291032288,290835872,nan,nan,nan,1,0,0,0,0,0,1,0,0,0,0
292032322,291835868,nan,nan,nan,1,0,0,0,0,0,1,0,0,0,0
293032313,292835876,nan,nan,nan,1,0,0,0,0,0,1,0,0,0,0
294032321,293837437,nan,nan,nan,1,0,0,0,0,0,1,0,0,0,0
295032285,294837356,nan,nan,nan,1,0,0,0,0,0,1,0,0,0,0
296032318,295835861,nan,nan,nan,1,0,0,0,0,0,1,0,0,0,0
297032277,296835871,nan,nan,nan,1,0,0,0,0,0,1,0,0,0,0
299032312,298835883,nan,nan,nan,1,0,0,0,0,0,1,0,0,0,0
300032420,299838980,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
301032306,300838988,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
302032486,301837863,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
303032306,302839086,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
304032318,303838960,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
305032265,304837862,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
306032455,305838990,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
307032275,306841085,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
309032509,308838980,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
