timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
200577046,200576730,-0.45802903,0.011621723,-0.013002488,0.8887661,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200582016,200581730,-0.4580304,0.011613029,-0.013018126,0.88876545,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200587027,200586730,-0.45801854,0.011623098,-0.013016448,0.8887713,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200592039,200591729,-0.45801038,0.011609501,-0.013014046,0.8887759,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200597023,200596730,-0.45799217,0.011625715,-0.012993322,0.8887853,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200602017,200601729,-0.4579819,0.011626678,-0.01298449,0.8887907,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200607032,200606729,-0.45796746,0.011630358,-0.012985398,0.88879806,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200612031,200611729,-0.45796072,0.011622679,-0.0129853245,0.88880163,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200617017,200616729,-0.45796657,0.01160968,-0.012988097,0.8887987,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200622017,200621730,-0.457974,0.011606719,-0.013001719,0.8887948,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200627026,200626730,-0.4579945,0.011602449,-0.0130076045,0.88878417,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200632036,200631730,-0.45801952,0.011593682,-0.013027413,0.8887711,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200637018,200636730,-0.45803925,0.011594153,-0.013028285,0.8887609,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200642060,200641730,-0.45805714,0.011599652,-0.013023095,0.8887517,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200647068,200646730,-0.45806053,0.011604887,-0.013002786,0.88875026,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200652066,200651729,-0.4580565,0.0116173355,-0.013002128,0.88875204,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200657059,200656732,-0.45803785,0.011634786,-0.013012529,0.8887614,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200662017,200661730,-0.45801595,0.0116343275,-0.013015224,0.8887726,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200667024,200666730,-0.45799926,0.011624432,-0.013021972,0.88878125,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200672080,200671729,-0.45799062,0.011626812,-0.013019612,0.88878566,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
