timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2],samples
230004403,230004272,3407898,-0.43692353,0.30510786,-0.009201283,22.486412,0,0,0,0,8
231004371,231004229,3407898,-0.10211342,0.0034473583,0.1234887,22.705315,0,0,0,0,8
232004354,232004229,3407898,-0.5288614,0.3663859,0.0240982,22.637379,0,0,0,0,8
233004371,233004228,3407898,-0.03713821,-0.33126283,-0.02511409,22.599638,0,0,0,0,8
235004370,235004229,3407898,-0.34208786,-0.15244152,-0.099831834,22.629831,0,0,0,0,8
236004354,236004229,3407898,0.3736387,-0.31811455,0.08712491,22.531702,0,0,0,0,8
237004364,237004229,3407898,-0.003330781,-0.015921133,-0.08126154,22.68806,0,0,0,0,7
238004355,238004229,3407898,-0.40225843,-0.15352403,0.09388639,22.554348,0,0,0,0,8
239004370,239004229,3407898,0.04865438,-0.26720357,-0.007719085,22.629831,0,0,0,0,8
240004403,240004274,3407898,-0.44060403,-0.09153819,-0.05060289,22.486412,0,0,0,0,8
241004370,241004229,3407898,-0.2374597,-0.12148191,0.026138304,22.539251,0,0,0,0,8
242004354,242004228,3407898,-0.115519814,-0.1393682,-0.07842324,22.403381,0,0,0,0,8
243004371,243004229,3407898,-0.23191395,0.0056456737,-0.11828436,22.463768,0,0,0,0,8
244004355,244004229,3407898,0.17095234,0.5630102,-0.0834777,22.584541,0,0,0,0,8
245004375,245004229,3407898,0.030185202,-0.5942363,0.070479326,22.524155,0,0,0,0,8
246004360,246004229,3407898,-0.11285519,-0.0064950227,-0.049253922,22.327898,0,0,0,0,8
247004380,247004230,3407898,-0.5832364,-0.62004983,0.0011990812,22.463768,0,0,0,0,8
248004351,248004229,3407898,-0.20168354,-0.07338186,0.08561058,22.463768,0,0,0,0,7
249004374,249004229,3407898,-0.0744263,-0.10272961,0.06430905,22.418478,0,0,0,0,8
250004398,250004272,3407898,0.15493128,-0.1024798,0.014089203,22.463768,0,0,0,0,8
251004378,251004229,3407898,0.026221573,-0.2514573,-0.03183394,22.629831,0,0,0,0,8
252004359,252004230,3407898,-0.054100208,-0.06675718,-0.02322387,22.418478,0,0,0,0,8
253004374,253004230,3407898,0.36192265,0.20413524,-0.16597281,22.433575,0,0,0,0,8
254004356,254004229,3407898,-0.43828914,-0.3373165,0.009342841,22.471317,0,0,0,0,8
255004370,255004229,3407898,-0.07213639,-0.4577992,-0.024539528,22.509058,0,0,0,0,8
256004355,256004229,3407898,-0.017328387,-0.42067763,-0.033624236,22.493961,0,0,0,0,8
258004355,258004229,3407898,0.28505656,0.49835977,0.121623464,22.509058,0,0,0,0,8
259004375,259004232,3407898,-0.41937864,-0.113621265,-0.1609933,22.493961,0,0,0,0,8
260004400,260004275,3407898,-0.66335,0.31444237,-0.038353942,22.342995,0,0,0,0,8
261004406,261004262,3407898,-0.018127775,0.096292876,0.09093032,22.403381,0,0,0,0,8
262004382,262004252,3407898,-0.4470158,0.32184502,-0.121648446,22.426027,0,0,0,0,8
263004405,263004264,3407898,-0.24538696,0.6155783,0.18514979,22.501509,0,0,0,0,8
264004358,264004231,3407898,-0.23000708,-0.24544525,0.041892897,22.403381,0,0,0,0,8
265004366,265004228,3407898,0.07690297,-0.20202614,0.2024068,22.230848,0,0,0,0,7
266004354,266004229,3407898,-0.033491004,-0.20779078,0.022482771,22.312801,0,0,0,0,8
267004366,267004229,3407898,-0.27832958,0.38800743,-0.09199617,22.282608,0,0,0,0,7
268004363,268004230,3407898,0.15099263,-0.11677718,0.038237367,22.312801,0,0,0,0,8
269004380,269004234,3407898,-0.51325667,0.43063667,0.13905178,22.252415,0,0,0,0,8
270004433,270004272,3407898,0.09724215,-0.02833662,0.93690705,22.403381,0,0,0,0,8
271004356,271004229,3407898,-0.4066634,-0.10993242,1.2127956,22.267511,0,0,0,0,8
272004371,272004229,3407898,-0.20356901,0.14868607,1.0138814,22.403381,0,0,0,0,8
273004356,273004229,3407898,-0.21928197,-0.16083509,1.0082856,22.199577,0,0,0,0,8
274004370,274004228,3407898,-0.11652737,0.067781396,1.0921714,22.403381,0,0,0,0,8
275004354,275004229,3407898,0.12814347,-0.5725113,1.1096247,22.433575,0,0,0,0,8
276004372,276004229,3407898,0.39463094,-0.029094372,0.9469077,22.373188,0,0,0,0,8
277004356,277004229,3407898,0.48995787,0.16656403,1.0560408,22.305254,0,0,0,0,8
278004373,278004229,3407898,0.19823143,-0.010516941,0.10133068,22.441124,0,0,0,0,8
279004358,279004230,3407898,0.19937222,-0.0127652185,-0.09377814,22.373188,0,0,0,0,8
281004356,281004229,3407898,0.5707543,0.34490237,-0.1463212,22.426027,0,0,0,0,8
282004371,282004229,3407898,0.29462424,0.078381605,-0.015354901,22.312801,0,0,0,0,8
283004355,283004229,3407898,0.061061542,-0.0864754,-0.10709293,22.222221,0,0,0,0,8
284004375,284004230,3407898,-0.6625173,-0.3746629,-2.3651042,22.131643,0,0,0,0,8
285004355,285004229,3407898,-0.037088245,0.83919024,0.014896918,22.403381,0,0,0,0,8
286004375,286004229,3407898,0.09114682,0.46158797,0.2724579,22.041063,0,0,0,0,8
287004358,287004229,3407898,-0.27532235,-0.45395213,0.14071716,22.10145,0,0,0,0,8
288004375,288004229,3407898,-0.68724006,-0.3885023,-0.25855187,22.131643,0,0,0,0,8
289004360,289004230,3407898,-0.054633133,0.1313327,-0.1833928,22.10145,0,0,0,0,8
290004415,290004274,3407898,-0.33814088,0.6357961,-0.44833145,22.192028,0,0,0,0,8
291004363,291004229,3407898,0.014222435,0.107850686,-0.12831001,22.222221,0,0,0,0,8
292004375,292004230,3407898,-0.41732186,0.28323296,-0.07098727,22.131643,0,0,0,0,8
293004364,293004229,3407898,-0.9142161,0.058396917,0.100747794,22.207125,0,0,0,0,8
