timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,wheel_rate_integ
341826826,0.135005,0.08673699,-0.06233787,0.0
341846824,0.135005,0.0866963,-0.062338684,0.0
341866833,0.135005,0.08664473,-0.062344253,0.0
341886825,0.135005,0.08662968,-0.062347274,0.0
341906825,0.135005,0.08661792,-0.062345903,0.0
341926826,0.135005,0.0865637,-0.062341608,0.0
341946825,0.135005,0.08654715,-0.062340956,0.0
341966827,0.135005,0.086535275,-0.06234404,0.0
341986824,0.135005,0.08649398,-0.062350266,0.0
342006828,0.135005,0.08647813,-0.062352065,0.0
342026824,0.135005,0.08647421,-0.06234653,0.0
342046825,0.135005,0.08645063,-0.06234921,0.0
342066827,0.135005,0.086442955,-0.062352877,0.0
342086824,0.135005,0.08645261,-0.06235554,0.0
342106825,0.135005,0.086441144,-0.062360905,0.0
342125579,0.135005,0.08641017,-0.062356,0.0
342146825,0.135005,0.08636194,-0.062345747,0.0
342166829,0.135005,0.08629059,-0.06234413,0.0
342186824,0.135005,0.08624578,-0.062344175,0.0
342206825,0.135005,0.08622686,-0.062344387,0.0
342226826,0.135005,0.08619603,-0.062344585,0.0
342246826,0.135005,0.08619432,-0.06233737,0.0
342266825,0.135005,0.08621845,-0.062336583,0.0
342286829,0.135005,0.086218566,-0.062338334,0.0
342306825,0.135005,0.08621122,-0.062334698,0.0
342326826,0.135005,0.08617314,-0.062328536,0.0
342346824,0.135005,0.08613467,-0.06232413,0.0
342366827,0.135005,0.086108826,-0.062324733,0.0
342386826,0.135005,0.08608678,-0.062328067,0.0
342406824,0.135005,0.08604956,-0.0623249,0.0
342426825,0.135005,0.086034015,-0.062317416,0.0
342446825,0.135005,0.08602618,-0.0623148,0.0
342466825,0.135005,0.08599885,-0.062319387,0.0
342486825,0.135005,0.08600166,-0.062323213,0.0
342506827,0.135005,0.08599517,-0.062325872,0.0
342526825,0.135005,0.08598645,-0.06232211,0.0
342546824,0.135005,0.0860174,-0.062316738,0.0
342566825,0.135005,0.08601913,-0.06231587,0.0
342586824,0.135005,0.08602791,-0.06231422,0.0
342606833,0.135005,0.08604437,-0.062310822,0.0
342626826,0.135005,0.08601489,-0.062315736,0.0
342646827,0.135005,0.08600272,-0.0623153,0.0
342666825,0.135005,0.086017266,-0.06231303,0.0
342686826,0.135005,0.08598456,-0.062316593,0.0
342706824,0.135005,0.08598558,-0.06231211,0.0
342726827,0.135005,0.085973226,-0.06229917,0.0
342746825,0.135005,0.08590655,-0.0622916,0.0
342766825,0.135005,0.08589181,-0.062292296,0.0
342786827,0.135005,0.08588568,-0.06230186,0.0
342806825,0.135005,0.08587423,-0.062306654,0.0
342826829,0.135005,0.08588718,-0.062299777,0.0
342846825,0.135005,0.08591311,-0.06229448,0.0
342866827,0.135005,0.08591961,-0.0622919,0.0
342886827,0.135005,0.08592135,-0.06229191,0.0
342906827,0.135005,0.08593439,-0.06229415,0.0
342926826,0.135005,0.08593839,-0.06229234,0.0
342946826,0.135005,0.08596672,-0.062288113,0.0
342966826,0.135005,0.08601007,-0.062284756,0.0
342986824,0.135005,0.086025804,-0.06227845,0.0
343006826,0.135005,0.086036064,-0.062275693,0.0
343026825,0.135005,0.08606326,-0.062270712,0.0
343046827,0.135005,0.08602786,-0.062267087,0.0
343066825,0.135005,0.086008474,-0.06225984,0.0
343086825,0.135005,0.086016834,-0.06225266,0.0
343106827,0.135005,0.08597569,-0.062254574,0.0
343126824,0.135005,0.0859309,-0.062247466,0.0
343146829,0.135005,0.0858917,-0.06223189,0.0
343166823,0.135005,0.085835956,-0.062234275,0.0
343186826,0.135005,0.08586875,-0.062239997,0.0
343206825,0.135005,0.08590912,-0.06224355,0.0
343226823,0.135005,0.08592075,-0.062237684,0.0
343246827,0.135005,0.085960485,-0.062220495,0.0
343266825,0.135005,0.08594896,-0.062216297,0.0
343286824,0.135005,0.085924715,-0.062222514,0.0
343306826,0.135005,0.085927606,-0.062219404,0.0
343326824,0.135005,0.08590927,-0.062213466,0.0
343346825,0.135005,0.085896365,-0.06220165,0.0
343366827,0.135005,0.08590816,-0.062189717,0.0
343386824,0.135005,0.085892856,-0.06219438,0.0
343406823,0.135005,0.08588174,-0.062197052,0.0
343426825,0.135005,0.08586782,-0.062179927,0.0
343446828,0.135005,0.085834764,-0.062174343,0.0
343466827,0.135005,0.08583941,-0.062177777,0.0
343486831,0.135005,0.08586187,-0.06218183,0.0
343506827,0.135005,0.08588432,-0.062177602,0.0
343526826,0.135005,0.08590161,-0.06216275,0.0
343546824,0.135005,0.08592486,-0.06215694,0.0
343566825,0.135005,0.0859375,-0.06215842,0.0
343586827,0.135005,0.08594502,-0.06215413,0.0
343606828,0.135005,0.085945785,-0.062146235,0.0
343626825,0.135005,0.08593729,-0.062142394,0.0
343646826,0.135005,0.085933186,-0.062136702,0.0
343666825,0.135005,0.08591434,-0.062130403,0.0
343686827,0.135005,0.08587531,-0.06212465,0.0
343706825,0.135005,0.08587823,-0.06211687,0.0
343726824,0.135005,0.085891545,-0.062113836,0.0
343746828,0.135005,0.08590296,-0.062110897,0.0
343766824,0.135005,0.085943766,-0.06210281,0.0
343786826,0.135005,0.08596059,-0.06209542,0.0
343806826,0.135005,0.08595688,-0.0620858,0.0
343826824,0.135005,0.085951395,-0.062080175,0.0
