timestamp,timestamp_sample,yaw_composite,yaw_variance,yaw[0],yaw[1],yaw[2],yaw[3],yaw[4],innov_vn[0],innov_vn[1],innov_vn[2],innov_vn[3],innov_vn[4],innov_ve[0],innov_ve[1],innov_ve[2],innov_ve[3],innov_ve[4],weight[0],weight[1],weight[2],weight[3],weight[4],yaw_composite_valid
252032277,251841729,-1.9535033,0.002261539,-1.9539543,-1.9512843,-1.944757,-2.0129747,-1.9582244,0.078443736,0.07853742,0.07875918,0.0762586,0.07830593,-0.039838146,-0.039510753,-0.03879398,-0.046524893,-0.040308304,0.69401944,0.299196,5.1767758e-05,1.0385927e-05,0.006722368,1
253032317,252841729,-1.9789939,0.0023449434,-1.9800708,-1.9772621,-1.9708813,-2.0396566,-1.9843044,-0.006706178,-0.006650336,-0.006518908,-0.00783886,-0.0067809895,0.040912326,0.040909838,0.04088876,0.04113874,0.040932808,0.69424844,0.2989534,5.1591258e-05,1.057377e-05,0.0067359707,1
254032514,253841729,-1.938075,0.002417171,-1.9388756,-1.9361075,-1.9298345,-1.9975334,-1.9430408,-0.022164643,-0.022168994,-0.022188067,-0.02204609,-0.022143424,-0.20519839,-0.20506585,-0.20478483,-0.20786357,-0.20538014,0.693856,0.2993684,5.1873583e-05,1.00349225e-05,0.006713765,1
255032539,254841729,-1.954193,0.0024451425,-1.9549204,-1.9523915,-1.946182,-2.0109658,-1.9589802,0.007678805,0.0076243877,0.007487146,0.00932119,0.007785417,-0.09779512,-0.09832393,-0.09952249,-0.08657258,-0.09699224,0.69465345,0.29852223,5.1241965e-05,1.0740294e-05,0.006762254,1
256032278,255841729,-1.9951497,0.002484763,-1.9969643,-1.9943184,-1.9882977,-2.0531242,-2.000956,0.0124307275,0.01246196,0.012532383,0.0118393,0.012396187,0.10079383,0.10080553,0.10081486,0.100711726,0.10079401,0.69479555,0.2983341,5.1105366e-05,4.6660734e-05,0.006772667,1
258032290,257841729,-1.9346119,0.0026654664,-1.9382501,-1.9356092,-1.9296285,-1.9941727,-1.9422197,0.07269447,0.07270787,0.072732985,0.072424375,0.0726876,-0.011661064,-0.011527859,-0.011246741,-0.014315231,-0.011842221,0.6948121,0.2983186,5.1080115e-05,4.6539542e-05,0.006771782,1
259032308,258841731,-1.9589472,0.0027054076,-1.9593072,-1.9568868,-1.9509292,-2.0130236,-1.9631989,0.084788635,0.08460896,0.08415185,0.08886692,0.08509579,0.2208693,0.22094208,0.22108719,0.21935129,0.22077614,0.6941904,0.2989834,5.156179e-05,4.2917873e-05,0.006731764,1
260032321,259841729,-1.9596194,0.002776439,-1.9595082,-1.9569592,-1.9511882,-2.0134559,-1.9633359,0.058328673,0.058322504,0.058301136,0.05863762,0.058354422,-0.11543894,-0.11555582,-0.11583251,-0.11285365,-0.115249336,0.69503915,0.29807395,5.0848637e-05,4.6981175e-05,0.006789072,1
261032344,260841729,-2.001785,0.0028558925,-2.009139,-2.0066094,-2.0008597,-2.062775,-2.0129485,0.17191777,0.17203115,0.17230815,0.16951816,0.17174903,0.067899525,0.06785154,0.067729354,0.06911582,0.0679878,0.69540644,0.297682,5.0560502e-05,4.880429e-05,0.0068121105,1
262032283,261841729,-1.9662557,0.0029221883,-1.9641336,-1.9616178,-1.9559234,-2.0173597,-1.9679102,0.0009929836,0.0012371838,0.001840502,-0.004392326,0.0006111562,0.0767203,0.0767867,0.07692021,0.07562238,0.07664013,0.6960124,0.29703403,5.008136e-05,5.2048064e-05,0.0068513677,1
263032313,262841729,-1.9394798,0.0029186585,-1.9388081,-1.9363579,-1.9308338,-1.9905549,-1.9424777,0.0073996186,0.0076851696,0.008391999,0.0010320842,0.0069488436,-0.014319003,-0.0141580105,-0.013814062,-0.017378807,-0.014539167,0.69645435,0.29655987,4.967567e-05,5.416452e-05,0.0068819183,1
264032269,263841729,-1.9243536,0.0029662405,-1.9269903,-1.9247518,-1.9192209,-1.9767574,-1.9306028,-0.11648872,-0.116467595,-0.11642207,-0.11684626,-0.11650704,-0.0673794,-0.06738818,-0.06742418,-0.06704283,-0.06734933,0.6967615,0.2962316,4.9428527e-05,5.5632598e-05,0.0069018477,1
