timestamp,voltage5v_v,voltage_payload_v,sensors3v3[0],sensors3v3[1],sensors3v3[2],sensors3v3[3],sensors3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc,comp_5v_valid,can1_gps1_5v_valid,payload_v_valid
224058310,4.9563446,0.0,3.2866058,3.2781463,3.2956696,3.2786498,15,0,1,0,1,0,0,0,0,0
224558306,4.9798093,0.0,3.299597,3.2773407,3.295468,3.280362,15,0,1,0,1,0,0,0,0,0
225058308,4.9590635,0.0,3.285498,3.2798584,3.2956696,3.2792542,15,0,1,0,1,0,0,0,0,0
225558310,4.949899,0.0,3.2873108,3.2756286,3.2964752,3.278247,15,0,1,0,1,0,0,0,0,0
226058309,4.9489927,0.0,3.3151062,3.276233,3.2946625,3.2779448,15,0,1,0,1,0,0,0,0,0
226558316,4.9512086,0.0,3.3166168,3.2763336,3.296173,3.279959,15,0,1,0,1,0,0,0,0,0
227058310,4.951007,0.0,3.3146026,3.279657,3.2942595,3.2786498,15,0,1,0,1,0,0,0,0,0
227558310,4.955841,0.0,3.3163147,3.2785492,3.2939575,3.280362,15,0,1,0,1,0,0,0,0,0
228058308,4.968329,0.0,3.2892241,3.2815704,3.2989929,3.2791533,15,0,1,0,1,0,0,0,0,0
228558309,4.946173,0.0,3.3156097,3.280966,3.293051,3.2770386,15,0,1,0,1,0,0,0,0,0
229058308,4.946475,0.0,3.286203,3.2808654,3.293051,3.2800598,15,0,1,0,1,0,0,0,0,0
229558309,4.9537263,0.0,3.314804,3.2812684,3.293051,3.2777436,15,0,1,0,1,0,0,0,0,0
230058309,4.9518127,0.0,3.3176239,3.278247,3.2966766,3.282376,15,0,1,0,1,0,0,0,0,0
230558309,4.953827,0.0,3.3152068,3.276233,3.295468,3.2774413,15,0,1,0,1,0,0,0,0,0
231058309,4.9519134,0.0,3.2856994,3.2771392,3.289627,3.2757294,15,0,1,0,1,0,0,0,0,0
231558307,4.9652066,0.0,3.2899292,3.2807648,3.2924469,3.2786498,15,0,1,0,1,0,0,0,0,0
232058309,4.9590635,0.0,3.2942595,3.279959,3.2952666,3.2763336,15,0,1,0,1,0,0,0,0,0
232558313,4.9489927,0.0,3.3080566,3.2763336,3.2939575,3.27442,15,0,1,0,1,0,0,0,0,0
233058311,4.9543304,0.0,3.3098693,3.279657,3.2921448,3.2794554,15,0,1,0,1,0,0,0,0,0
233558309,4.9456697,0.0,3.306848,3.2788513,3.2963746,3.2787507,15,0,1,0,1,0,0,0,0,0
235058309,4.9518127,0.0,3.3180268,3.2773407,3.2921448,3.2818725,15,0,1,0,1,0,0,0,0,0
235558309,4.9622865,0.0,3.299597,3.279657,3.2921448,3.2814696,15,0,1,0,1,0,0,0,0,0
236058312,4.969336,0.0,3.2859008,3.279657,3.294159,3.2807648,15,0,1,0,1,0,0,0,0,0
236558402,4.959164,0.0,3.2916412,3.279657,3.2913392,3.2794554,15,0,1,0,1,0,0,0,0,0
237058307,4.9566464,0.0,3.2853973,3.2790527,3.2904327,3.276837,15,0,1,0,1,0,0,0,0,0
237558310,4.9638977,0.0,3.286505,3.2800598,3.2956696,3.2794554,15,0,1,0,1,0,0,0,0,0
238058309,4.9695373,0.0,3.2867064,3.2779448,3.2939575,3.2801604,15,0,1,0,1,0,0,0,0,0
238558310,4.981421,0.0,3.3160126,3.2791533,3.2915404,3.2815704,15,0,1,0,1,0,0,0,0,0
239058310,4.9664154,0.0,3.2901306,3.2800598,3.294159,3.281772,15,0,1,0,1,0,0,0,0,0
239558314,4.973465,0.0,3.288318,3.2800598,3.2924469,3.2760315,15,0,1,0,1,0,0,0,0,0
240058308,4.9523163,0.0,3.3164153,3.2786498,3.296173,3.2780457,15,0,1,0,1,0,0,0,0,0
240558310,4.964804,0.0,3.3128905,3.2757294,3.293051,3.2821746,15,0,1,0,1,0,0,0,0,0
241058309,4.966919,0.0,3.313092,3.27442,3.2971802,3.2784483,15,0,1,0,1,0,0,0,0,0
241558310,4.9766874,0.0,3.2853973,3.2802613,3.2956696,3.2795563,15,0,1,0,1,0,0,0,0,0
242058311,4.9622865,0.0,3.3109772,3.2752259,3.294864,3.2807648,15,0,1,0,1,0,0,0,0,0
242558310,4.9559417,0.0,3.2955687,3.2759306,3.293756,3.2801604,15,0,1,0,1,0,0,0,0,0
243058309,4.9586606,0.0,3.2870085,3.279959,3.2957702,3.2814696,15,0,1,0,1,0,0,0,0,0
243558310,4.947281,0.0,3.2902312,3.2792542,3.2913392,3.280362,15,0,1,0,1,0,0,0,0,0
244058309,4.973868,0.0,3.2970793,3.2766356,3.2936554,3.2783477,15,0,1,0,1,0,0,0,0,0
244558309,4.9805145,0.0,3.314099,3.27724,3.2963746,3.281369,15,0,1,0,1,0,0,0,0,0
245058311,4.964502,0.0,3.2980864,3.2785492,3.2962737,3.2801604,15,0,1,0,1,0,0,0,0,0
245558313,4.975076,0.0,3.2866058,3.281067,3.2949646,3.2767365,15,0,1,0,1,0,0,0,0,0
246058310,4.9624877,0.0,3.294461,3.2760315,3.2952666,3.2784483,15,0,1,0,1,0,0,0,0,0
246558309,4.9770904,0.0,3.3162138,3.2774413,3.293051,3.2815704,15,0,1,0,1,0,0,0,0,0
247058309,4.9563446,0.0,3.288217,3.2812684,3.2925475,3.278952,15,0,1,0,1,0,0,0,0,0
248058309,4.960373,0.0,3.317221,3.2777436,3.294159,3.2784483,15,0,1,0,1,0,0,0,0,0
248558308,4.985953,0.0,3.2970793,3.2812684,3.2969787,3.281067,15,0,1,0,1,0,0,0,0,0
249558311,4.9774933,0.0,3.2855988,3.277542,3.2955687,3.2785492,15,0,1,0,1,0,0,0,0,0
250058309,4.9809175,0.0,3.312689,3.276837,3.2959716,3.280966,15,0,1,0,1,0,0,0,0,0
250558308,4.963495,0.0,3.294159,3.2776427,3.2953675,3.280362,15,0,1,0,1,0,0,0,0,0
251058310,4.9471803,0.0,3.2935545,3.2802613,3.2946625,3.2777436,15,0,1,0,1,0,0,0,0,0
251558309,4.963696,0.0,3.287512,3.275125,3.2916412,3.2771392,15,0,1,0,1,0,0,0,0,0
252058309,4.960675,0.0,3.3047333,3.2795563,3.295871,3.2781463,15,0,1,0,1,0,0,0,0,0
252558308,4.95997,0.0,3.2863038,3.2792542,3.2913392,3.281067,15,0,1,0,1,0,0,0,0,0
253058309,4.977191,0.0,3.292749,3.276233,3.294763,3.2766356,15,0,1,0,1,0,0,0,0,0
253558308,4.9690337,0.0,3.3149047,3.2746215,3.2902312,3.2788513,15,0,1,0,1,0,0,0,0,0
254058311,4.965106,0.0,3.3161132,3.2771392,3.294461,3.2763336,15,0,1,0,1,0,0,0,0,0
254558309,4.9652066,0.0,3.2874115,3.278952,3.294058,3.2783477,15,0,1,0,1,0,0,0,0,0
255058307,4.9799104,0.0,3.3114808,3.27583,3.294159,3.2771392,15,0,1,0,1,0,0,0,0,0
255558308,4.968933,0.0,3.287915,3.276837,3.295166,3.2802613,15,0,1,0,1,0,0,0,0,0
256058306,4.973868,0.0,3.2924469,3.2811675,3.294763,3.280664,15,0,1,0,1,0,0,0,0,0
256558308,4.9678254,0.0,3.3175232,3.2778442,3.2928498,3.2770386,15,0,1,0,1,0,0,0,0,0
257558312,4.96712,0.0,3.2994964,3.2779448,3.2960722,3.2784483,15,0,1,0,1,0,0,0,0,0
258058309,4.9759827,0.0,3.2997985,3.2801604,3.2899292,3.27583,15,0,1,0,1,0,0,0,0,0
258558309,4.992297,0.0,3.3165162,3.276132,3.2945616,3.2801604,15,0,1,0,1,0,0,0,0,0
259058309,4.9915924,0.0,3.299295,3.2793548,3.2955687,3.2795563,15,0,1,0,1,0,0,0,0,0
259558309,4.992398,0.0,3.3080566,3.2763336,3.2925475,3.2808654,15,0,1,0,1,0,0,0,0,0
260058308,4.984442,0.0,3.287613,3.276132,3.2921448,3.2802613,15,0,1,0,1,0,0,0,0,0
260558308,4.992297,0.0,3.3164153,3.281671,3.2959716,3.2780457,15,0,1,0,1,0,0,0,0,0
261058308,4.965106,0.0,3.3128905,3.2774413,3.2957702,3.2770386,15,0,1,0,1,0,0,0,0,0
261558309,4.987967,0.0,3.31279,3.2800598,3.2926483,3.278247,15,0,1,0,1,0,0,0,0,0
262058309,4.9701414,0.0,3.3165162,3.2794554,3.2953675,3.2787507,15,0,1,0,1,0,0,0,0,0
262558310,4.979205,0.0,3.3164153,3.2781463,3.2955687,3.2777436,15,0,1,0,1,0,0,0,0,0
263058311,4.983536,0.0,3.3174224,3.2815704,3.2918427,3.276535,15,0,1,0,1,0,0,0,0,0
263558307,4.987564,0.0,3.2987914,3.278247,3.2953675,3.2757294,15,0,1,0,1,0,0,0,0,0
264058309,4.9895782,0.0,3.2898285,3.2776427,3.2929504,3.2778442,15,0,1,0,1,0,0,0,0,0
264558311,4.989981,0.0,3.314099,3.2814696,3.289627,3.2787507,15,0,1,0,1,0,0,0,0,0
265058308,4.988269,0.0,3.3056395,3.281369,3.2919433,3.278952,15,0,1,0,1,0,0,0,0,0
265558311,4.9684296,0.0,3.2950652,3.275528,3.2907348,3.280362,15,0,1,0,1,0,0,0,0,0
266058310,4.983536,0.0,3.3122864,3.278247,3.2900298,3.276837,15,0,1,0,1,0,0,0,0,0
266558308,4.988974,0.0,3.3097687,3.2776427,3.2945616,3.2842896,15,0,1,0,1,0,0,0,0,0
267058315,4.977594,0.0,3.2863038,3.2786498,3.2922454,3.2800598,15,0,1,0,1,0,0,0,0,0
267558310,4.967926,0.0,3.3149047,3.2759306,3.2915404,3.2800598,15,0,1,0,1,0,0,0,0,0
268058309,4.973868,0.0,3.2916412,3.2756286,3.2949646,3.2767365,15,0,1,0,1,0,0,0,0,0
268558308,4.9812193,0.0,3.2945616,3.2802613,3.2925475,3.2814696,15,0,1,0,1,0,0,0,0,0
269058311,4.992398,0.0,3.3105743,3.2779448,3.295871,3.2797577,15,0,1,0,1,0,0,0,0,0
269558313,4.9874635,0.0,3.3111784,3.2776427,3.2890227,3.2743194,15,0,1,0,1,0,0,0,0,0
270058309,4.979407,0.0,3.3138976,3.2788513,3.295166,3.2788513,15,0,1,0,1,0,0,0,0,0
270558311,4.9870605,0.0,3.2898285,3.2797577,3.2917418,3.2794554,15,0,1,0,1,0,0,0,0,0
271058308,4.9949155,0.0,3.3170197,3.2785492,3.2946625,3.281671,15,0,1,0,1,0,0,0,0,0
272058303,4.9828305,0.0,3.3122864,3.2792542,3.294461,3.2783477,15,0,1,0,1,0,0,0,0,0
272558330,4.9960237,0.0,3.3178253,3.2778442,3.2945616,3.2766356,15,0,1,0,1,0,0,0,0,0
273058313,4.984442,0.0,3.2873108,3.2792542,3.2895262,3.2783477,15,0,1,0,1,0,0,0,0,0
274058311,4.986758,0.0,3.286505,3.2794554,3.2971802,3.283081,15,0,1,0,1,0,0,0,0,0
274558307,4.9848447,0.0,3.2911377,3.279959,3.2962737,3.2784483,15,0,1,0,1,0,0,0,0,0
275058309,4.985147,0.0,3.31279,3.2786498,3.2933533,3.277542,15,0,1,0,1,0,0,0,0,0
