timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,gyro_bias_stable,accel_bias_valid,accel_bias_stable,mag_bias_valid,mag_bias_stable
211246165,211055672,3407882,-0.003183956,-0.0014049129,-0.00066686946,0.15,2.0945089e-07,1.9453564e-07,4.3766698e-07,3407882,-0.0056305844,-0.011493939,0.02637977,0.4,0.0019131494,0.0019548286,1.4896743e-05,466953,-0.0041455473,-0.00092063413,-0.014471575,0.5,0.0009975653,0.0010381707,0.001199334,1,0,1,0,1,0
212036278,211845671,3407882,-0.003190412,-0.001353019,-0.00066368835,0.15,2.1566282e-07,1.9459173e-07,4.4546292e-07,3407882,-0.0059195175,-0.010115294,0.026395196,0.4,0.0019085079,0.001942734,1.4836695e-05,466953,-0.00486853,-0.0006659225,-0.014751463,0.5,0.0009115876,0.0009554486,0.0011719834,1,0,1,0,1,0
212436258,212245671,3407882,-0.0031916497,-0.00136582,-0.00066290784,0.15,2.1699545e-07,1.9504448e-07,4.4935487e-07,3407882,-0.005618037,-0.010137946,0.026510939,0.4,0.001903142,0.0019353337,1.4805163e-05,466953,-0.005866013,-0.00066016335,-0.014866827,0.5,0.0008911036,0.0009406375,0.0011572732,1,0,1,0,1,0
212636190,212445670,3407882,-0.003182427,-0.0013617077,-0.0006642816,0.15,2.1689242e-07,1.9533054e-07,4.5127376e-07,3407882,-0.005119829,-0.009249159,0.026642034,0.4,0.0018995809,0.0019313366,1.478936e-05,466953,-0.005882025,-0.0006447364,-0.014967965,0.5,0.000879407,0.0009342449,0.0011460965,1,0,1,0,1,0
212836163,212645671,3407882,-0.0031595486,-0.0013425093,-0.00066798757,0.15,2.1575096e-07,1.9560298e-07,4.5315528e-07,3407882,-0.0045216014,-0.0077701076,0.026771575,0.4,0.0018957944,0.0019276685,1.4775117e-05,466953,-0.006136457,-0.00064364047,-0.015053923,0.5,0.00085836265,0.00092776644,0.0011191571,1,0,1,0,1,0
213146201,212955673,3407882,-0.0031761762,-0.0013190119,-0.00066406344,0.15,2.1083038e-07,1.9594891e-07,4.5593958e-07,3407882,-0.0051781638,-0.0067138826,0.026891118,0.4,0.0018892594,0.0019224919,1.4755973e-05,466953,-0.0058103716,-0.0004640654,-0.015443191,0.5,0.0008033061,0.0009194857,0.0010383374,1,0,1,0,1,0
213456178,213265671,3407882,-0.0031893952,-0.001302438,-0.00066020066,0.15,2.0424767e-07,1.961579e-07,4.586204e-07,3407882,-0.005550021,-0.0059633953,0.026978647,0.4,0.0018833543,0.0019179666,1.4740182e-05,466953,-0.0055636684,-9.756234e-05,-0.016497856,0.5,0.0007469199,0.0009108882,0.00095705455,1,0,1,0,1,0
213886164,213695671,3407882,-0.0031848347,-0.0012910889,-0.0006599354,0.15,1.9820536e-07,1.9630977e-07,4.6245225e-07,3407882,-0.005466846,-0.005416684,0.02703439,0.4,0.0018781059,0.0019129801,1.4720978e-05,466953,-0.0055627837,0.0002591953,-0.017434303,0.5,0.0007101622,0.00089711865,0.0009127622,1,0,1,0,1,0
214816131,214625671,3407882,-0.0031680379,-0.0012978561,-0.0006594446,0.15,1.965591e-07,1.9647969e-07,4.7125812e-07,3407882,-0.005385732,-0.0059243944,0.02694586,0.4,0.0018729434,0.0019050669,1.4686516e-05,466953,-0.0058850436,0.00083692704,-0.01825362,0.5,0.00066898146,0.00086253224,0.0008844306,1,1,1,0,1,0
215336177,215145671,3407882,-0.0031842887,-0.0013148165,-0.00065728044,0.15,1.97547e-07,1.9605332e-07,4.7630323e-07,3407882,-0.0061259824,-0.0067395386,0.026788216,0.4,0.0018709315,0.0019012647,1.4664757e-05,466953,-0.006005236,0.0010413774,-0.018221725,0.5,0.0006594151,0.00084584305,0.0008830129,1,1,1,0,1,0
216036383,215845671,3407882,-0.0031916578,-0.0013419546,-0.0006565437,0.15,1.9959934e-07,1.9635385e-07,4.830747e-07,3407882,-0.006680582,-0.007692711,0.026626764,0.4,0.0018689757,0.001898345,1.4652349e-05,466953,-0.006190061,0.0009843596,-0.01817704,0.5,0.000652187,0.00083271146,0.00087818777,1,1,1,0,1,0
216585988,216395671,3407882,-0.0032155442,-0.0013621919,-0.0006572941,0.15,2.0065781e-07,1.9658575e-07,4.8834545e-07,3407882,-0.007429763,-0.008352826,0.026479084,0.4,0.0018673853,0.001897041,1.4646548e-05,466953,-0.00633838,0.0009664379,-0.017857373,0.5,0.000639795,0.0008286427,0.0008558734,1,1,1,0,1,0
217036368,216845671,3407882,-0.0032235752,-0.0013940369,-0.00066010974,0.15,1.9906938e-07,1.9531606e-07,4.9254004e-07,3407882,-0.008227529,-0.009133687,0.026295492,0.4,0.0018652695,0.0018961349,1.4630002e-05,466953,-0.0064528473,0.0006904268,-0.018060034,0.5,0.00062293577,0.00082473207,0.0008268977,1,1,1,0,1,0
217436256,217245670,3407882,-0.0032019704,-0.0013928397,-0.00065927894,0.15,1.982159e-07,1.9487531e-07,4.963536e-07,3407882,-0.009166906,-0.009664391,0.026120957,0.4,0.0018634164,0.0018956481,1.4620827e-05,466953,-0.006299831,0.0006964882,-0.018081343,0.5,0.0006213284,0.0008227203,0.00082617084,1,1,1,0,1,0
