timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
212426185,212412027,466953,-0.083504245,0.119201005,0.47287154,3
212530187,212483532,466953,-0.0929044,0.120263755,0.4720559,3
212569181,212555031,466953,-0.10528662,0.12006563,0.47347778,3
212673175,212626528,466953,-0.1176756,0.11835449,0.46879032,3
212816185,212769530,466953,-0.14603838,0.118527636,0.45815542,3
212855188,212841029,466953,-0.15524374,0.11715436,0.4569102,3
212998180,212984028,466953,-0.15963636,0.11357846,0.45767602,3
213141182,213127028,466953,-0.1536999,0.1097908,0.45895764,3
213245194,213198529,466953,-0.15251079,0.10881629,0.4602364,3
213284204,213270035,466953,-0.14913517,0.108568475,0.45963907,3
213388194,213341528,466953,-0.14394125,0.107746445,0.46201906,3
213427178,213413030,466953,-0.13890205,0.10550808,0.4657815,3
213531183,213484528,466953,-0.13237141,0.10681485,0.46606997,3
213570187,213556036,466953,-0.12721133,0.10507863,0.468342,3
213674202,213627529,466953,-0.12352173,0.10504282,0.4692115,3
213713196,213699027,466953,-0.12094738,0.10567345,0.46839994,3
213817189,213770532,466953,-0.12057925,0.10718264,0.46851254,3
213856200,213842027,466953,-0.12019851,0.108753815,0.4691012,3
213960188,213913529,466953,-0.116866864,0.11111252,0.46886688,3
213999185,213985029,466953,-0.11508565,0.11272946,0.46872303,3
214103203,214056530,466953,-0.11119464,0.11305886,0.46983793,3
214142180,214128030,466953,-0.108189136,0.11416051,0.47063673,3
214246189,214199528,466953,-0.105351925,0.112722605,0.4717157,3
214285188,214271029,466953,-0.10217675,0.11255649,0.47193485,3
214389193,214342531,466953,-0.09660344,0.11053346,0.47417933,3
214428195,214414034,466953,-0.09150367,0.10966474,0.47538924,3
214532183,214485529,466953,-0.08529952,0.1082202,0.47701114,3
214571183,214557027,466953,-0.07931428,0.10775544,0.47601932,3
214675177,214628531,466953,-0.07524039,0.10911169,0.4781245,3
214714181,214700029,466953,-0.0689071,0.111098126,0.4796121,3
214818175,214771528,466953,-0.06499032,0.11144431,0.4785542,3
214857177,214843035,466953,-0.06337327,0.112305894,0.47840285,3
214961183,214914528,466953,-0.065103956,0.112988174,0.4779982,3
215000198,214986029,466953,-0.06725216,0.11286835,0.47911915,3
215104200,215057532,466953,-0.06651356,0.10717267,0.47973973,3
215143204,215129027,466953,-0.06886613,0.10459664,0.4791295,3
215247181,215200529,466953,-0.07218276,0.100645855,0.4806136,3
215286184,215272028,466953,-0.075439185,0.09684287,0.4803297,3
215390193,215343531,466953,-0.07631802,0.09591883,0.47878847,3
215429194,215415029,466953,-0.07578643,0.10166858,0.48035523,3
215533192,215486528,466953,-0.06718282,0.106501944,0.48047715,3
215572176,215558030,466953,-0.05723646,0.10657986,0.48165983,3
215676185,215629530,466953,-0.052316688,0.10865502,0.4805514,3
215715188,215701029,466953,-0.050292205,0.112605,0.48022234,3
215819180,215772529,466953,-0.049550842,0.11268979,0.48119372,3
215858178,215844027,466953,-0.04968956,0.10442733,0.48236328,3
215962183,215915531,466953,-0.048206136,0.099916376,0.48379534,3
216001187,215987027,466953,-0.039708164,0.096723035,0.4853115,3
216105188,216058530,466953,-0.026426138,0.10254835,0.48419678,3
216144213,216130031,466953,-0.0153379105,0.111769736,0.48113582,3
216248196,216201528,466953,-0.013315488,0.11771156,0.48073858,3
216287184,216273029,466953,-0.008674122,0.120588124,0.48200333,3
216391188,216344529,466953,-0.00076237257,0.11501391,0.48231167,3
216430186,216416036,466953,0.001709704,0.11195926,0.48236376,3
216534182,216487529,466953,0.003584837,0.107816905,0.4836842,3
216573176,216559028,466953,0.0034221923,0.10543587,0.48271084,3
