timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
241731729,32767,32767,32767,32767,32767,32767
241736729,32767,32767,32767,32767,32767,32767
241741729,32767,32767,32767,32767,-5,32767
241746729,32767,32767,32767,32767,32767,32767
241751729,32767,32767,32767,-16,32767,32767
241756729,32767,32767,32767,32767,32767,32767
241761729,32767,32767,32767,32767,32767,32767
241766729,32767,32767,32767,32767,32767,32767
241771728,32767,32767,32767,32767,32767,32767
241776729,32767,32767,32767,32767,32767,32767
241781729,32767,32767,32767,32767,32767,32767
241786729,32767,32767,32767,32767,32767,32767
241791729,32767,32767,32767,32767,32767,32767
241796729,32767,32767,32767,-33,32767,32767
241801729,32767,32767,32767,32767,32767,32767
241806729,32767,32767,32767,32767,32767,32767
241811729,32767,32767,32767,32767,32767,32767
241816729,32767,32767,32767,32767,32767,32767
241821729,32767,32767,32767,32767,32767,32767
241826729,32767,32767,32767,32767,32767,32767
241831728,32767,32767,32767,32767,32767,32767
241836729,32767,32767,32767,32767,32767,32767
241841729,32767,32767,32767,32767,32767,32767
241846729,32767,32767,32767,32767,-16,32767
241851729,32767,32767,32767,32767,32767,32767
241856729,32767,32767,32767,32767,32767,32767
241861729,32767,32767,32767,32767,32767,32767
241866729,32767,32767,32767,32767,32767,32767
241871729,32767,32767,32767,32767,32767,32767
241876729,32767,32767,32767,32767,32767,32767
241881729,32767,32767,32767,-17,32767,32767
241886729,32767,32767,32767,32767,-25,32767
241891729,32767,32767,32767,32767,32767,32767
241896729,32767,32767,32767,32767,32767,32767
241901729,32767,32767,32767,32767,32767,32767
241906729,32767,32767,32767,32767,32767,32767
241911728,32767,32767,32767,32767,32767,32767
241916729,32767,32767,32767,32767,32767,32767
241921729,32767,32767,32767,32767,32767,32767
241926729,32767,32767,32767,-34,32767,32767
241931728,32767,32767,32767,32767,32767,32767
241936729,32767,32767,32767,32767,32767,32767
241941729,32767,32767,32767,32767,32767,32767
241946729,32767,32767,32767,32767,32767,32767
241951728,32767,32767,32767,32767,32767,32767
241956729,32767,32767,32767,32767,32767,32767
241961729,32767,32767,32767,32767,32767,32767
241966729,32767,32767,32767,32767,32767,32767
241971729,32767,32767,32767,32767,32767,32767
241976729,32767,32767,32767,32767,32767,32767
241981729,32767,32767,32767,32767,32767,32767
241986729,32767,32767,32767,32767,32767,32767
241991728,32767,32767,32767,32767,-36,32767
241996729,32767,32767,32767,32767,32767,32767
242001729,32767,32767,32767,32767,32767,32767
242006729,32767,32767,32767,32767,32767,32767
242011729,32767,32767,32767,-18,32767,32767
242016729,32767,32767,32767,32767,32767,32767
242021729,32767,32767,32767,32767,32767,32767
242026729,32767,32767,32767,32767,32767,32767
242031740,32767,32767,32767,32767,-46,32767
242036729,32767,32767,32767,32767,32767,32767
242041729,32767,32767,32767,32767,32767,32767
242046729,32767,32767,32767,32767,32767,32767
242051728,32767,32767,32767,32767,32767,32767
242056729,32767,32767,32767,-35,32767,32767
242061729,32767,32767,32767,32767,32767,32767
242066729,32767,32767,32767,32767,32767,32767
242071728,32767,32767,32767,32767,32767,32767
242076729,32767,32767,32767,32767,32767,32767
242081730,32767,32767,32767,32767,32767,32767
242086729,32767,32767,32767,32767,32767,32767
242091729,32767,32767,32767,32767,32767,32767
