timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,heading_var,unaided_heading,delta_heading,tilt_var,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield,dead_reckoning
207542376,207541729,42042859,60.1877325,24.832678599999998,0.13718416,-1.0325719,-3.8377974,0.2201162,0.143384,-2.0861626e-07,-0.16310573,0.056911733,-0.8645774,-0.88444686,-0.025945434,0.04994766,0.011585729,0.5402042,-0.40972045,1.2825364,-2.0701556,0.03720583,0.0788911,0.00729649,6.3363106e-05,-9.646487,1.1220763,0.24322923,0.230457,0.11430097,0.06478487,inf,inf,inf,inf,1,1,1,1,3,2,3,2,2,0,1,1,0,0,0
208042344,208041729,42042859,60.1877325,24.832678599999998,0.0443561,-1.011366,-4.3252387,0.2201162,0.143384,-2.0861626e-07,-0.18729496,0.0765241,-1.0188494,-1.041443,-0.025945434,0.04994766,0.011585729,-0.67906046,1.5412486,1.176056,-2.1424985,0.033453662,-0.003104773,0.00729649,6.314895e-05,-9.646487,1.6095176,0.24346656,0.23042251,0.114892475,0.06479779,inf,inf,inf,inf,1,1,1,1,3,2,3,2,2,0,1,1,0,0,0
208542386,208541729,42042859,60.1877325,24.832678599999998,-0.0050785504,-0.99774706,-4.8778133,0.2201162,0.143384,-2.0861626e-07,-0.090155154,-0.015406041,-1.1090143,-1.1401781,-0.025945434,0.04994766,0.011585729,-0.69430053,0.33448052,-1.95587,-2.2132134,0.06716236,-0.05168843,-0.026442554,6.303322e-05,-9.646487,2.1620922,0.24374755,0.2303833,0.11165592,0.064812325,inf,inf,inf,inf,1,1,1,1,3,2,3,2,3,0,1,1,0,0,0
209042379,209041729,42042859,60.1877325,24.832678599999998,-0.087894514,-1.0629478,-5.4877505,0.2201162,0.143384,-2.0861626e-07,-0.27964392,-0.31625375,-1.199899,-1.2486918,-0.025945434,0.04994766,0.011585729,-1.2515316,0.7350629,0.98783153,-2.1974928,0.06132964,-0.04276552,-0.026442554,6.312417e-05,-9.646487,2.7720294,0.24401112,0.2308219,0.11934202,0.06488751,inf,inf,inf,inf,1,1,1,1,3,2,3,2,3,0,1,1,0,0,0
209542348,209541729,42042859,60.1877325,24.832678599999998,-0.291364,-1.3439379,-6.1669664,0.2201162,0.143384,-2.0861626e-07,-0.55440986,-0.7856072,-1.3279153,-1.3918191,-0.025945434,0.04994766,0.011585729,-0.29404622,-0.39438438,-0.086859934,-2.0924845,0.03777525,0.035646074,-0.026442554,6.401179e-05,-9.646487,3.4512453,0.24419072,0.2307274,0.1509558,0.0649268,inf,inf,inf,inf,1,1,1,1,3,2,3,2,3,1,1,1,0,0,0
210042347,210041729,42042859,60.1877325,24.832678599999998,-0.6447583,-1.9030659,-6.8848925,0.2201162,0.143384,-2.0861626e-07,-0.906468,-1.42061,-1.3546028,-1.4245507,-0.025945434,0.04994766,0.011585729,-1.6200737,-1.1572473,2.644784,-1.9915353,0.017050603,0.12601455,-0.026442554,6.565532e-05,-9.646487,4.1691713,0.2444478,0.2306385,0.15841489,0.065002285,inf,inf,inf,inf,1,1,1,1,3,2,3,2,3,1,1,1,0,0,0
210542227,210541729,42042859,60.1877325,24.832678599999998,-1.157801,-2.762517,-7.6269174,0.2201162,0.143384,-2.0861626e-07,-1.1720041,-1.952876,-1.3654174,-1.4464114,-0.025945434,0.04994766,0.011585729,-1.4768465,-1.4199402,2.174211,-1.9870414,0.0081429025,0.12066375,-0.026442554,6.7275556e-05,-9.646487,4.911196,0.24468231,0.23051837,0.14658348,0.06508515,inf,inf,inf,inf,1,1,1,1,3,2,3,2,3,1,1,1,0,0,0
211542420,211541729,42042859,60.1877325,24.832678599999998,-2.406147,-5.194675,-9.203403,0.2201162,0.143384,-2.0861626e-07,-1.2236176,-2.6533763,-1.6746022,-1.7584382,-0.025945434,0.04994766,0.011585729,0.10702319,-5.126845,0.61506236,-1.930009,0.003974416,0.18547888,-0.026442554,7.07168e-05,-9.646487,6.4876823,0.24525318,0.23079559,0.12228244,0.065163895,inf,inf,inf,inf,1,1,1,1,3,2,3,2,3,1,1,1,0,0,0
212042195,212041729,42042859,60.1877325,24.832678599999998,-2.9971642,-6.5234346,-10.056478,0.2201162,0.143384,-2.0861626e-07,-1.1105534,-2.6008093,-1.2274661,-1.303279,-0.025945434,0.04994766,0.011585729,2.8886285,-5.236019,4.0954556,-1.9607854,0.0036660437,0.15256652,-0.026442554,7.2135896e-05,-9.646487,7.3407564,0.24548039,0.23067416,0.11233624,0.065079145,inf,inf,inf,inf,1,1,1,1,3,2,3,2,3,1,1,1,0,0,0
212542211,212541729,42042859,60.1877325,24.832678599999998,-3.5482986,-7.789841,-10.482931,0.2201162,0.143384,-2.0861626e-07,-1.0007854,-2.415438,-0.6437984,-0.7328545,-0.025945434,0.04994766,0.011585729,-0.9683096,1.8713677,0.03650989,-1.964058,0.003628896,0.15059581,-0.026442554,7.3396695e-05,-9.646487,7.76721,0.24567431,0.23110527,0.10762058,0.06506801,inf,inf,inf,inf,1,1,1,1,3,2,3,2,3,1,1,1,0,0,0
