timestamp,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,rotational_movement,close_to_ground_or_skipped_check,at_rest
357482366,0,0,0,0,0,0,1,0,0,0,1,0
357492707,0,0,0,0,1,1,1,0,0,0,1,0
357582613,0,0,0,0,0,0,1,0,0,0,1,0
357592441,0,0,0,0,1,1,1,0,0,0,1,0
357682368,0,0,0,0,0,0,1,0,0,0,1,0
357692427,0,0,0,0,1,1,1,0,0,0,1,0
357782625,0,0,0,0,0,0,1,0,0,0,1,0
357792499,0,0,0,0,1,1,1,0,0,0,1,0
357882419,0,0,0,0,0,0,1,0,0,0,1,0
357892386,0,0,0,0,1,1,1,0,0,0,1,0
357982391,0,0,0,0,0,0,1,0,0,0,1,0
357992647,0,0,0,0,1,1,1,0,0,0,1,0
358082365,0,0,0,0,0,0,1,0,0,0,1,0
358092383,0,0,0,0,1,1,1,0,0,0,1,0
358182456,0,0,0,0,0,0,1,0,0,0,1,0
358192384,0,0,0,0,1,1,1,0,0,0,1,0
358282688,0,0,0,0,0,0,1,0,0,0,1,0
358292436,0,0,0,0,1,1,1,0,0,0,1,0
358382391,0,0,0,0,0,0,1,0,0,0,1,0
