timestamp,position[0],position[1],position[2],velocity[0],velocity[1],velocity[2],acceleration[0],acceleration[1],acceleration[2],jerk[0],jerk[1],jerk[2],yaw,yawspeed
266164081,-5.749827,-14.0255785,-18.677387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9528745,0.0
266364040,-5.749827,-14.0255785,-18.677387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9528745,0.0
266564042,-5.749827,-14.0255785,-18.677387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9528745,0.0
266764011,-5.749827,-14.0255785,-18.677387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9528745,0.0
266963984,-5.749827,-14.0255785,-18.677387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9528745,0.0
267163948,-5.749827,-14.0255785,-18.677387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9528745,0.0
267363931,-5.749827,-14.0255785,-18.677387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9528745,0.0
267563912,-5.749827,-14.0255785,-18.677387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9528745,0.0
267763877,-5.749827,-14.0255785,-18.677387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9528745,0.0
267963843,-5.749827,-14.0255785,-18.677387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9528745,0.0
268163819,-5.749827,-14.0255785,-18.677387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9528745,0.0
268363810,-5.749827,-14.0255785,-18.677387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9528745,0.0
268563771,-5.749827,-14.0255785,-18.677387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9528745,0.0
268763725,-5.5876637,-12.813301,-18.703735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8601547,0.0
268963683,-5.5876637,-12.813301,-18.703735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6601548,0.0
269163664,-5.5876637,-12.813301,-18.703735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4601548,0.0
269363619,-5.5876637,-12.813301,-18.703735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2601547,0.0
269563631,-5.5876637,-12.813301,-18.703735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1601548,0.0
269763590,-5.5876637,-12.813301,-18.703735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9601548,0.0
269963563,-5.5876637,-12.813301,-18.703735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7601548,0.0
270163528,-5.5876637,-12.813301,-18.703735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5601548,0.0
270363524,-5.5876637,-12.813301,-18.703735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.36015478,0.0
270563495,-5.5876637,-12.813301,-18.703735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16015477,0.0
270763452,-5.5876637,-12.813301,-18.703735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03984523,0.0
270963430,-5.5876637,-12.813301,-18.703735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23984523,0.0
271163381,-5.5876637,-12.813301,-18.703735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43984523,0.0
271363372,-5.5876637,-12.813301,-18.703735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63984525,0.0
271763327,-5.5876637,-12.813301,-18.703735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0398452,0.0
