timestamp,x,y,z,vx,vy,vz,acceleration[0],acceleration[1],acceleration[2],thrust[0],thrust[1],thrust[2],yaw,yawspeed
278662260,-5.5876637,-12.813301,-18.703735,-0.0830585,0.16901346,0.0063056946,-0.48786974,0.15634112,-0.17311811,-0.0354299,0.011353749,-0.71218544,6.1398454,0.0
278762250,-5.5876637,-12.813301,-18.703735,-0.0842304,0.16546287,0.008472443,-0.47342494,0.16646591,-0.21945383,-0.034547176,0.0121474955,-0.7156236,6.1398454,0.0
278862249,-5.5876637,-12.813301,-18.703735,-0.08470514,0.15996623,0.01083374,-0.5558666,0.045911588,-0.24283324,-0.04066039,0.003358329,-0.7173227,6.1398454,0.0
278962248,-5.5876637,-12.813301,-18.703735,-0.085803196,0.15304537,0.013563156,-0.51474243,0.015726317,-0.26420167,-0.03773197,0.0011527804,-0.7188587,6.1398454,0.0
279062249,-5.5876637,-12.813301,-18.703735,-0.08798256,0.14461602,0.014379501,-0.53204054,-0.048703533,-0.3149289,-0.039194576,-0.0035879111,-0.72243404,6.1398454,0.0
279162284,-5.5876637,-12.813301,-18.703735,-0.0884496,0.13529249,0.014657974,-0.46149606,0.0011633611,-0.3366961,-0.03407139,8.588879e-05,-0.7240008,6.1398454,0.0
279262323,-5.5876637,-12.813301,-18.703735,-0.08612029,0.12350011,0.014465332,-0.5359422,-0.04708971,-0.3964554,-0.03979995,-0.0034969596,-0.7282579,6.1398454,0.0
279362310,-5.5876637,-12.813301,-18.703735,-0.08353958,0.11166062,0.012996674,-0.45071423,-0.04128933,-0.46192154,-0.03368773,-0.0030860885,-0.732972,6.1398454,0.0
279462311,-5.5876637,-12.813301,-18.703735,-0.08211491,0.10132961,0.010196686,-0.52244776,-0.029693987,-0.544989,-0.039364323,-0.0022373216,-0.7389014,6.1398454,0.0
279562284,-5.5876637,-12.813301,-18.703735,-0.08219056,0.0898797,0.0059509277,-0.45037505,-0.1000046,-0.5700326,-0.03401703,-0.0075533926,-0.740689,6.1398454,0.0
279662318,-5.5876637,-12.813301,-18.703735,-0.08191604,0.077618025,-5.722046e-06,-0.49244112,-0.1763965,-0.6081624,-0.037328802,-0.01337149,-0.74337286,6.1398454,0.0
279862282,-5.5876637,-12.813301,-18.703735,-0.07552338,0.045436334,-0.010269165,-0.52773225,-0.22714534,-0.6034274,-0.03998663,-0.017210957,-0.7430727,6.1398454,0.0
280162282,-5.5876637,-12.813301,-18.703735,-0.06489339,-0.0073448657,-0.02276802,-0.5537244,-0.35521793,-0.6432271,-0.04211691,-0.027018283,-0.7459136,6.1398454,0.0
280262256,-5.632427,-12.903974,-18.684927,-0.10468404,-0.10726476,-0.008657455,-0.76502126,-0.49224067,-0.5878792,-0.057879344,-0.037241533,-0.7419355,-0.38392255,0.0
280362250,-5.632427,-12.903974,-18.684927,-0.102858014,-0.12072597,-0.013097763,-0.4428277,-0.49363622,-0.559748,-0.033413816,-0.037247602,-0.7399549,-0.28392255,0.0
280462252,-5.632427,-12.903974,-18.684927,-0.09958105,-0.13435659,-0.018362045,-0.60323805,-0.4323953,-0.6242801,-0.045799617,-0.032828733,-0.74453676,-0.18392254,0.0
280562286,-5.632427,-12.903974,-18.684927,-0.0986198,-0.14478092,-0.024209976,-0.57610744,-0.48070326,-0.6116373,-0.04368705,-0.036452416,-0.7436587,-0.18392254,0.0
280662287,-5.632427,-12.903974,-18.684927,-0.099363156,-0.15390062,-0.02969551,-0.5821786,-0.50639373,-0.62094575,-0.044183146,-0.038431622,-0.74425286,-0.18392254,0.0
280762286,-5.632427,-12.903974,-18.684927,-0.10015228,-0.16053428,-0.033714294,-0.70496786,-0.47317243,-0.7062955,-0.053943895,-0.036206987,-0.7503944,-0.18392254,0.0
280862244,-5.632427,-12.903974,-18.684927,-0.10013098,-0.16435847,-0.037700653,-0.7651608,-0.39412168,-0.66088843,-0.058296375,-0.030027498,-0.7471572,-0.18392254,0.0
280962292,-5.632427,-12.903974,-18.684927,-0.099755906,-0.16674575,-0.04129219,-0.6549787,-0.40931833,-0.6535007,-0.0498679,-0.031164136,-0.74664694,-0.18392254,0.0
281062254,-5.632427,-12.903974,-18.684927,-0.097993754,-0.1682198,-0.0431118,-0.50220084,-0.3437055,-0.52330226,-0.037751887,-0.025837332,-0.73719865,-0.18392254,0.0
281162249,-5.632427,-12.903974,-18.684927,-0.092460416,-0.1668735,-0.04281044,-0.666197,-0.3429656,-0.500878,-0.049982287,-0.025731435,-0.73575205,-0.18392254,0.0
281262285,-5.632427,-12.903974,-18.684927,-0.08773613,-0.16216959,-0.04175186,-0.656696,-0.3652264,-0.46163046,-0.04907495,-0.0272934,-0.73285,-0.18392254,0.0
281362275,-5.632427,-12.903974,-18.684927,-0.083865285,-0.15664487,-0.039484024,-0.5090488,-0.37584624,-0.39043102,-0.037777454,-0.027892247,-0.72777015,-0.18392254,0.0
281462280,-5.632427,-12.903974,-18.684927,-0.07891405,-0.15145445,-0.037525177,-0.5590239,-0.29445037,-0.46247554,-0.041783344,-0.022008218,-0.7329775,-0.18392254,0.0
281562283,-5.632427,-12.903974,-18.684927,-0.0734695,-0.1476366,-0.03677368,-0.5413487,-0.37105593,-0.51749575,-0.04067969,-0.027883025,-0.73691446,-0.18392254,0.0
281662282,-5.632427,-12.903974,-18.684927,-0.06840319,-0.14617161,-0.03683853,-0.65606046,-0.41745818,-0.5109681,-0.049266998,-0.03134911,-0.73642033,-0.18392254,0.0
281862309,-5.632427,-12.903974,-18.684927,-0.06744511,-0.14462328,-0.041913986,-0.49412405,-0.30376396,-0.5990338,-0.037425164,-0.02300721,-0.7427591,-0.18392254,0.0
281962525,-5.632427,-12.903974,-18.684927,-0.067415215,-0.14159092,-0.0450058,-0.58874214,-0.38067248,-0.59536695,-0.04457382,-0.028820809,-0.7424613,-0.18392254,0.0
282062289,-5.632427,-12.903974,-18.684927,-0.066036746,-0.13769516,-0.046915054,-0.49938968,-0.33346155,-0.5310333,-0.03757644,-0.025091227,-0.7379052,-0.18392254,0.0
282162289,-5.632427,-12.903974,-18.684927,-0.06631715,-0.13435388,-0.049102783,-0.5579273,-0.3992881,-0.615715,-0.042325556,-0.030290844,-0.74394983,-0.18392254,0.0
282262304,-5.632427,-12.903974,-18.684927,-0.06913841,-0.13224201,-0.05158806,-0.6198823,-0.39868063,-0.5740397,-0.046832025,-0.030120267,-0.7408887,-0.18392254,0.0
282362247,-5.632427,-12.903974,-18.684927,-0.071904846,-0.12968712,-0.05334282,-0.6895377,-0.35086238,-0.57112646,-0.052079048,-0.026499752,-0.7406747,-0.18392254,0.0
282462448,-5.632427,-12.903974,-18.684927,-0.073740385,-0.12711772,-0.05390358,-0.54972214,-0.3493377,-0.56811094,-0.041512344,-0.02638028,-0.7405428,-0.18392254,0.0
282562246,-5.632427,-12.903974,-18.684927,-0.07195196,-0.12241201,-0.0536232,-0.55075747,-0.24338178,-0.5203353,-0.04139316,-0.018291792,-0.73702985,-0.18392254,0.0
282662241,-5.632427,-12.903974,-18.684927,-0.06705825,-0.1128366,-0.05151558,-0.49226844,-0.15704271,-0.4534848,-0.036761615,-0.011727632,-0.73232955,-0.18392254,0.0
282762248,-5.632427,-12.903974,-18.684927,-0.060335804,-0.09999327,-0.047346115,-0.50891435,-0.131886,-0.3890413,-0.03776604,-0.009787133,-0.7277344,-0.18392254,0.0
282862246,-5.632427,-12.903974,-18.684927,-0.050854158,-0.086150646,-0.042549133,-0.6275907,-0.10368866,-0.46593678,-0.046922155,-0.007752338,-0.73318624,-0.18392254,0.0
282962498,-5.632427,-12.903974,-18.684927,-0.040729713,-0.070957184,-0.039424896,-0.58363056,-0.034705393,-0.5093986,-0.043824114,-0.002605986,-0.7363609,-0.18392254,0.0
283062255,-5.632427,-12.903974,-18.684927,-0.032072973,-0.05556078,-0.03750038,-0.524464,-0.033554196,-0.5260681,-0.03944439,-0.002523576,-0.7375508,-0.18392254,0.0
283162285,-5.632427,-12.903974,-18.684927,-0.023728346,-0.041245222,-0.035572052,-0.59491724,-0.10332183,-0.4353067,-0.044347532,-0.0077020265,-0.7310366,-0.18392254,0.0
