timestamp,timestamp_sample,switch_changes,mode_slot,arm_switch,return_switch,loiter_switch,offboard_switch,kill_switch,gear_switch,transition_switch,photo_switch,video_switch,payload_power_switch,engage_main_motor_switch
340612643,340592681,2,1,0,3,3,3,3,0,0,0,0,0,0
341632648,341612531,2,1,0,3,3,3,3,0,0,0,0,0,0
342632655,342612673,2,1,0,3,3,3,3,0,0,0,0,0,0
343652721,343632451,2,1,0,3,3,3,3,0,0,0,0,0,0
344652783,344632676,2,1,0,3,3,3,3,0,0,0,0,0,0
345652855,345632519,2,1,0,3,3,3,3,0,0,0,0,0,0
346652881,346632643,2,1,0,3,3,3,3,0,0,0,0,0,0
347672647,347652795,2,1,0,3,3,3,3,0,0,0,0,0,0
348692517,348672432,2,1,0,3,3,3,3,0,0,0,0,0,0
349692671,349672685,2,1,0,3,3,3,3,0,0,0,0,0,0
350712728,350692612,2,1,0,3,3,3,3,0,0,0,0,0,0
351732535,351712365,2,1,0,3,3,3,3,0,0,0,0,0,0
352752682,352732370,2,1,0,3,3,3,3,0,0,0,0,0,0
353772659,353752517,2,1,0,3,3,3,3,0,0,0,0,0,0
354132644,354112535,3,1,0,3,3,3,1,0,0,0,0,0,0
355132653,355112531,3,1,0,3,3,3,1,0,0,0,0,0,0
356132839,356111655,3,1,0,3,3,3,1,0,0,0,0,0,0
357152649,357132623,3,1,0,3,3,3,1,0,0,0,0,0,0
358152664,358131716,3,1,0,3,3,3,1,0,0,0,0,0,0
359172732,359145631,3,1,0,3,3,3,1,0,0,0,0,0,0
359832726,359812610,4,1,0,3,3,3,3,0,0,0,0,0,0
