timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_angle_clipping,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
241001924,241001729,3407898,3407898,-0.0005247396,-0.00024049755,6.139644e-05,0.0069138156,0.0054992875,-0.0424828,5000,5000,0,0,1,1
241501930,241501729,3407898,3407898,-0.00037729516,2.0333226e-05,0.00023306895,0.009667251,-0.0070267436,-0.05237675,5000,5000,0,0,1,1
242001911,242001729,3407898,3407898,-0.00022632875,-5.4634216e-05,2.3839073e-05,0.0002030465,-0.007918958,-0.046485525,5000,5000,0,0,1,1
243001926,243001729,3407898,3407898,6.864954e-05,0.00032089604,-0.00027841108,-0.0014755116,0.003073794,-0.038468685,5000,5000,0,0,1,1
243501925,243501729,3407898,3407898,0.0024385243,0.0010075236,0.0004856304,-0.00050951494,-0.0037675875,-0.031780064,5000,5000,0,0,1,1
244001913,244001729,3407898,3407898,0.0013782383,0.0004897825,0.000114348164,0.0035088419,-0.00010476309,-0.03174195,5000,5000,0,0,1,1
244501906,244501729,3407898,3407898,0.0007590906,0.0002051859,6.10779e-05,-0.0014597968,0.009705359,-0.05441295,5000,5000,0,0,1,1
245001931,245001729,3407898,3407898,0.00028128404,0.00031222065,7.683233e-05,-0.002536317,-0.008537355,-0.043161478,5001,5001,0,0,1,1
246001919,246001729,3407898,3407898,-0.0004634555,0.00017844315,-0.00011221419,0.002028985,0.0043925717,-0.060098335,5000,5000,0,0,1,1
246501909,246501729,3407898,3407898,-0.0001280514,0.00022483252,-0.0001192972,0.011573261,0.012549596,-0.043558232,5000,5000,0,0,1,1
247001923,247001729,3407898,3407898,-0.003847159,-0.0015245586,-0.00020944739,0.008927011,-0.006962479,-0.045986164,5000,5000,0,0,1,1
248001909,248001729,3407898,3407898,-0.00024780488,-0.00035933687,-0.00017494765,-0.00971032,-0.0032696521,-0.05291495,5000,5000,0,0,1,1
248501909,248501729,3407898,3407898,0.0008348965,-6.443005e-05,0.0002711301,0.0037134343,0.0049658893,-0.049931485,5000,5000,0,0,1,1
249001923,249001729,3407898,3407898,0.00022949964,6.612838e-05,0.00030396788,-0.003878973,-0.008112083,-0.04829399,5000,5000,0,0,1,1
249501933,249501729,3407898,3407898,1.5921221e-05,0.0002920859,-7.813567e-05,0.0026464763,0.004348166,-0.05473421,5000,5000,0,0,1,1
250001907,250001729,3407898,3407898,0.00092857983,0.00038996863,0.00013321279,-0.007567231,-0.003704168,-0.050386876,5000,5000,0,0,1,1
250501921,250501729,3407898,3407898,0.00019805397,9.819275e-06,-8.764065e-05,-0.0061555426,-0.0029829752,-0.04572632,5000,5000,0,0,1,1
251001929,251001731,3407898,3407898,0.00017914231,2.9831288e-05,0.00010453847,-0.007135159,0.0038581423,-0.038978685,5002,5002,0,0,1,1
