timestamp,imbalanced_prop_metric,motor_failure_mask,fd_roll,fd_pitch,fd_alt,fd_ext,fd_arm_escs,fd_battery,fd_imbalanced_prop,fd_motor
295483315,1.9025749,0,0,0,0,0,0,0,0,0
295582679,1.8584392,0,0,0,0,0,0,0,0,0
295681077,1.7955035,0,0,0,0,0,0,0,0,0
295780135,1.7029674,0,0,0,0,0,0,0,0,0
295879124,1.6397432,0,0,0,0,0,0,0,0,0
295978362,1.5761317,0,0,0,0,0,0,0,0,0
296077283,1.5761317,0,0,0,0,0,0,0,0,0
296275199,1.4660496,0,0,0,0,0,0,0,0,0
296374216,1.4433434,0,0,0,0,0,0,0,0,0
296583317,1.5809139,0,0,0,0,0,0,0,0,0
296682823,1.5513834,0,0,0,0,0,0,0,0,0
296781066,1.6435312,0,0,0,0,0,0,0,0,0
296880113,1.7727435,0,0,0,0,0,0,0,0,0
296979180,1.7874943,0,0,0,0,0,0,0,0,0
297078412,1.747092,0,0,0,0,0,0,0,0,0
297177277,1.7766093,0,0,0,0,0,0,0,0,0
297276366,1.8006196,0,0,0,0,0,0,0,0,0
297375380,1.8930082,0,0,0,0,0,0,0,0,0
297474614,1.9217575,0,0,0,0,0,0,0,0,0
297573246,1.9865015,0,0,0,0,0,0,0,0,0
297683275,1.9700722,0,0,0,0,0,0,0,0,0
297782634,2.1490872,0,0,0,0,0,0,0,0,0
297881056,2.2574973,0,0,0,0,0,0,0,0,0
298079117,2.4116902,0,0,0,0,0,0,0,0,0
298178349,2.5484576,0,0,0,0,0,0,0,0,0
298277308,2.6310492,0,0,0,0,0,0,0,0,0
298377310,2.7882037,0,0,0,0,0,0,0,0,0
298476778,2.9903069,0,0,0,0,0,0,0,0,0
298575202,3.1183658,0,0,0,0,0,0,0,0,0
298674241,3.199938,0,0,0,0,0,0,0,0,0
298773238,3.3654406,0,0,0,0,0,0,0,0,0
298883287,3.5468254,0,0,0,0,0,0,0,0,0
298982579,3.6003323,0,0,0,0,0,0,0,0,0
299081073,3.6003323,0,0,0,0,0,0,0,0,0
299180120,3.7428527,0,0,0,0,0,0,0,0,0
299279136,3.9131572,0,0,0,0,0,0,0,0,0
299378360,4.1447525,0,0,0,0,0,0,0,0,0
299477280,4.35337,0,0,0,0,0,0,0,0,0
299576287,4.544817,0,0,0,0,0,0,0,0,0
299675175,4.6258793,0,0,0,0,0,0,0,0,0
299774217,4.8485928,0,0,0,0,0,0,0,0,0
299873158,4.925224,0,0,0,0,0,0,0,0,0
299983268,5.041559,0,0,0,0,0,0,0,0,0
300082633,5.203557,0,0,0,0,0,0,0,0,0
300181052,5.2593513,0,0,0,0,0,0,0,0,0
300280134,5.4600997,0,0,0,0,0,0,0,0,0
300379144,5.601687,0,0,0,0,0,0,0,0,0
300478327,5.6799607,0,0,0,0,0,0,0,0,0
300577291,5.7785397,0,0,0,0,0,0,0,0,0
300676313,5.8312106,0,0,0,0,0,0,0,0,0
300775172,5.853569,0,0,0,0,0,0,0,0,0
300874446,5.9046526,0,0,0,0,0,0,0,0,0
300973192,5.935256,0,0,0,0,0,0,0,0,0
301083316,5.879949,0,0,0,0,0,0,0,0,0
301182734,5.955926,0,0,0,0,0,0,0,0,0
301281085,6.002759,0,0,0,0,0,0,0,0,0
301380096,6.0729284,0,0,0,0,0,0,0,0,0
301479135,6.1429486,0,0,0,0,0,0,0,0,0
301578346,6.272777,0,0,0,0,0,0,0,0,0
301677516,6.2703023,0,0,0,0,0,0,0,0,0
301776317,6.3539667,0,0,0,0,0,0,0,0,0
301875203,6.366454,0,0,0,0,0,0,0,0,0
301974617,6.4150205,0,0,0,0,0,0,0,0,0
302073202,6.4150205,0,0,0,0,0,0,0,0,0
302183297,6.5896144,0,0,0,0,0,0,0,0,0
302282735,6.5896144,0,0,0,0,0,0,0,0,0
302381054,6.647655,0,0,0,0,0,0,0,0,0
302480095,6.7108088,0,0,0,0,0,0,0,0,0
302777268,6.7406864,0,0,0,0,0,0,0,0,0
302876428,6.713701,0,0,0,0,0,0,0,0,0
302975159,6.792639,0,0,0,0,0,0,0,0,0
303074471,6.818065,0,0,0,0,0,0,0,0,0
303173189,6.925743,0,0,0,0,0,0,0,0,0
303283321,7.0594974,0,0,0,0,0,0,0,0,0
303382595,6.9979277,0,0,0,0,0,0,0,0,0
303481063,7.071995,0,0,0,0,0,0,0,0,0
303580096,7.2120595,0,0,0,0,0,0,0,0,0
303679118,7.2369127,0,0,0,0,0,0,0,0,0
303778330,7.2953367,0,0,0,0,0,0,0,0,0
303877283,7.4536576,0,0,0,0,0,0,0,0,0
303976509,7.46709,0,0,0,0,0,0,0,0,0
304075278,7.4944625,0,0,0,0,0,0,0,0,0
304174213,7.5816684,0,0,0,0,0,0,0,0,0
304273164,7.64925,0,0,0,0,0,0,0,0,0
304383275,7.6248345,0,0,0,0,0,0,0,0,0
304582654,7.644936,0,0,0,0,0,0,0,0,0
304681068,7.6942368,0,0,0,0,0,0,0,0,0
304780096,7.6942368,0,0,0,0,0,0,0,0,0
304879121,7.6916924,0,0,0,0,0,0,0,0,0
304978342,7.6137533,0,0,0,0,0,0,0,0,0
305077289,7.5901456,0,0,0,0,0,0,0,0,0
305176368,7.5172925,0,0,0,0,0,0,0,0,0
305275173,7.528603,0,0,0,0,0,0,0,0,0
305374261,7.6183453,0,0,0,0,0,0,0,0,0
305473198,7.654349,0,0,0,0,0,0,0,0,0
305583348,7.5716004,0,0,0,0,0,0,0,0,0
305682653,7.5110717,0,0,0,0,0,0,0,0,0
305781053,7.554804,0,0,0,0,0,0,0,0,0
305880116,7.5845695,0,0,0,0,0,0,0,0,0
305979116,7.575852,0,0,0,0,0,0,0,0,0
306276373,7.7268662,0,0,0,0,0,0,0,0,0
306375197,7.8246546,0,0,0,0,0,0,0,0,0
306474308,7.857844,0,0,0,0,0,0,0,0,0
306573231,7.770075,0,0,0,0,0,0,0,0,0
306683313,7.787641,0,0,0,0,0,0,0,0,0
306782581,7.853079,0,0,0,0,0,0,0,0,0
306881059,7.7942843,0,0,0,0,0,0,0,0,0
306980099,7.7058473,0,0,0,0,0,0,0,0,0
307079119,7.7505274,0,0,0,0,0,0,0,0,0
307178366,7.772383,0,0,0,0,0,0,0,0,0
307277247,7.7067246,0,0,0,0,0,0,0,0,0
307376676,7.7067246,0,0,0,0,0,0,0,0,0
307475173,7.66984,0,0,0,0,0,0,0,0,0
307574243,7.805672,0,0,0,0,0,0,0,0,0
307673157,8.079921,0,0,0,0,0,0,0,0,0
307783296,8.138888,0,0,0,0,0,0,0,0,0
307882702,8.137542,0,0,0,0,0,0,0,0,0
308080098,7.9859905,0,0,0,0,0,0,0,0,0
308179120,7.863699,0,0,0,0,0,0,0,0,0
308289055,7.739808,0,0,0,0,0,0,0,0,0
308796116,7.696156,0,0,0,0,0,0,0,0,0
309302493,7.9242096,0,0,0,0,0,0,0,0,0
309807892,8.718056,0,0,0,0,0,0,0,0,0
310270117,8.715416,0,0,0,0,0,0,0,0,0
310776374,8.486314,0,0,0,0,0,0,0,0,0
311282455,7.9086623,0,0,0,0,0,0,0,0,0
311787892,7.313023,0,0,0,0,0,0,0,0,0
312293999,6.796459,0,0,0,0,0,0,0,0,0
312800101,6.3512535,0,0,0,0,0,0,0,0,0
313306074,6.099126,0,0,0,0,0,0,0,0,0
313812519,5.674252,0,0,0,0,0,0,0,0,0
314317892,5.285133,0,0,0,0,0,0,0,0,0
314824081,4.887941,0,0,0,0,0,0,0,0,0
315330093,4.5064106,0,0,0,0,0,0,0,0,0
315836120,4.141823,0,0,0,0,0,0,0,0,0
316342523,3.8172095,0,0,0,0,0,0,0,0,0
316430398,3.8172095,0,0,0,0,0,0,0,0,0
316441172,3.7317476,0,0,0,0,0,0,0,0,0
316474260,3.7317476,0,0,0,0,0,0,0,0,0
316573197,3.7198002,0,0,0,0,0,0,0,0,0
316683275,3.7134562,0,0,0,0,0,0,0,0,0
316782805,3.6963131,0,0,0,0,0,0,0,0,0
316881065,3.667481,0,0,0,0,0,0,0,0,0
316980098,3.6261835,0,0,0,0,0,0,0,0,0
317079188,3.5895934,0,0,0,0,0,0,0,0,0
317178421,3.547683,0,0,0,0,0,0,0,0,0
317277273,3.5449886,0,0,0,0,0,0,0,0,0
317376341,3.5216434,0,0,0,0,0,0,0,0,0
317475195,3.5216434,0,0,0,0,0,0,0,0,0
317673450,3.538066,0,0,0,0,0,0,0,0,0
317772713,3.522202,0,0,0,0,0,0,0,0,0
317882683,3.5468717,0,0,0,0,0,0,0,0,0
317981061,3.614403,0,0,0,0,0,0,0,0,0
318080121,3.6359453,0,0,0,0,0,0,0,0,0
318179125,3.5925972,0,0,0,0,0,0,0,0,0
318278331,3.580305,0,0,0,0,0,0,0,0,0
318377313,3.5946174,0,0,0,0,0,0,0,0,0
318476308,3.6256654,0,0,0,0,0,0,0,0,0
318575179,3.655145,0,0,0,0,0,0,0,0,0
318674279,3.696308,0,0,0,0,0,0,0,0,0
318784255,3.7235916,0,0,0,0,0,0,0,0,0
318883328,3.6156752,0,0,0,0,0,0,0,0,0
318982610,3.5826817,0,0,0,0,0,0,0,0,0
319081062,3.5876963,0,0,0,0,0,0,0,0,0
319180099,3.521527,0,0,0,0,0,0,0,0,0
