timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping,gyro_clipping,accel_calibration_count,gyro_calibration_count
200666730,-0.0049335267,0.0038577463,-0.0072593326,5000,0,0.13239838,0.6217687,-9.874197,5000,0,0,1,1
200671729,-0.003928945,-0.0022365833,-0.0037226246,4999,0,-0.36340085,0.2011243,-9.694032,4999,0,0,1,1
200676729,-0.005757492,0.0047373273,0.002829053,5000,0,0.032065276,0.53806466,-10.018433,5000,0,0,1,1
200681730,-0.0010859277,0.0020441485,0.0015088455,5001,0,-0.05223511,0.17074111,-9.657204,5001,0,0,1,1
200686730,-0.001041118,-0.0034739093,0.0025248204,5000,0,-0.06855011,0.05346955,-10.007586,5000,0,0,1,1
200691729,0.0007604528,-0.004527947,0.0049519893,4999,0,0.0661143,0.32371572,-9.728064,4999,0,0,1,1
200696763,-0.0061897608,-0.0024123876,0.0037042086,5034,0,-0.2956444,0.3270003,-9.753013,5034,0,0,1,1
200701729,-0.00963507,-0.005182961,0.00013214714,4966,0,-0.31922135,0.47294256,-9.950695,4966,0,0,1,1
200706729,-0.0066519007,0.00069559657,0.0035294222,5000,0,0.008230817,0.28257456,-9.641355,5000,0,0,1,1
200711730,-0.008784331,0.0008871433,0.0038402868,5001,0,-0.03526502,0.23916996,-9.953184,5001,0,0,1,1
200716772,-0.010615266,0.0038515993,0.0077905823,5042,0,-0.08642442,0.5116646,-9.752765,5042,0,0,1,1
200721730,-0.0029933974,0.00039546713,0.008105208,4958,0,0.017357387,0.21412109,-9.987449,4958,0,0,1,1
200726730,-0.004086349,0.00013741579,-0.00032865562,5000,0,0.13120703,0.521178,-9.692202,5000,0,0,1,1
200731731,0.00012432877,-0.002289916,9.074443e-06,5001,0,-0.17186604,0.31387973,-9.844144,5001,0,0,1,1
200736731,0.0022295788,0.00013354787,-0.005332501,5000,0,-0.08714706,0.038402937,-9.862356,5000,0,0,1,1
200741730,-0.00561595,-0.008392515,-0.008096703,4999,0,-0.08505593,0.289138,-9.797446,4999,0,0,1,1
200746730,-0.00505273,-0.00023622095,-0.008112755,5000,0,-0.29903734,0.44550687,-9.719176,5000,0,0,1,1
200751730,-0.00909872,-0.0034866617,-0.0056273546,5000,0,-0.02367568,0.28129566,-9.924597,5000,0,0,1,1
200756733,-0.008939756,-0.0010085262,-0.002493454,5003,0,0.011032917,0.43110055,-9.756412,5003,0,0,1,1
200761729,-0.00086071156,-0.0027894147,0.0064905677,4996,0,-0.11305625,0.17370637,-9.833615,4996,0,0,1,1
200766730,-0.009424916,-0.00069488963,0.009923275,5001,0,0.13496612,0.433482,-9.87022,5001,0,0,1,1
200771731,-0.0018717796,-0.002323658,0.01043575,5001,0,-0.26687613,0.30682483,-9.867856,5001,0,0,1,1
