timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
225613145,225612980,-0.2698165,0.025132457,-10.002349
225663165,225662997,0.079717696,0.12796335,-9.999125
225713144,225712978,-0.2989351,0.033956297,-9.844887
225763164,225762998,-0.597865,0.10834761,-9.692598
225813147,225812980,-0.5044846,-0.11382958,-9.566575
225863192,225862998,-0.037212215,-0.072153576,-10.048973
225913144,225912979,-0.46114403,-0.41130087,-10.163526
225963174,225962997,0.26557454,0.14513808,-9.513338
226013149,226012979,-1.3977091,-0.66774875,-7.4441247
226063196,226062997,0.04102577,-0.04934578,-9.328293
226113149,226112979,0.55118704,-0.046744984,-10.389387
226163192,226162998,-0.07972768,-0.023044886,-10.652567
226213143,226212979,-0.34943098,-0.41451845,-9.984387
226263177,226262999,-0.30190226,-0.57546574,-10.039863
226313144,226312979,-0.6664833,-0.06420068,-10.322808
226363164,226362998,-0.2015687,-0.49339432,-9.948427
226413127,226412979,-0.6679057,-0.35553834,-9.89301
226463150,226462999,-0.5531813,-0.05121589,-9.775261
226513127,226512979,-2.2624867,-0.47397417,-7.40666
226563158,226562998,1.0813353,-0.6306632,-9.301794
226613129,226612980,0.5837759,-0.4393551,-10.334263
226663150,226662997,-0.24763872,-0.33923337,-9.9858265
226713133,226712979,-0.76996166,-0.16993636,-9.684631
226763148,226762998,-0.36512184,-0.15807149,-9.648061
226813127,226812979,-0.12913628,-0.20048541,-9.748067
226863151,226862998,-0.50216025,-0.7363453,-9.509904
226913128,226912979,-0.31050006,-0.6525732,-9.818869
226963153,226962998,-0.49132988,-0.24601516,-9.859565
227013128,227012980,-1.8278309,-0.58272356,-7.353945
227063147,227062997,0.3162919,-0.5170647,-9.328787
227113129,227112979,0.6728913,-0.26835015,-10.46352
227163150,227162997,-0.3774553,-0.04990776,-10.316623
227213132,227212979,-0.3592242,-0.11930589,-10.5018215
227363203,227363027,-0.31385472,-0.55767715,-10.366387
227413091,227412991,-0.15510044,-0.4413254,-10.07713
227463169,227462998,-0.34227073,0.13883267,-10.383509
227513144,227512979,-1.9085919,-0.67581016,-7.5277
227563162,227562997,0.65581906,0.22943646,-9.662237
227613143,227612979,0.26124546,-0.571027,-10.499257
227663164,227662999,-0.11517812,-0.51188534,-10.356862
227713145,227712979,-0.17288144,-0.4020047,-10.259082
227763169,227763000,-0.46941587,-0.41629007,-9.780073
227813145,227812980,-0.6311836,-0.46824288,-9.991236
227863183,227862997,-0.40246445,-0.37126616,-9.934967
227913143,227912979,-0.1697125,-0.5291115,-9.891484
227963188,227962999,-0.37952286,-0.29970536,-9.52247
228013146,228012979,-1.6763616,-0.76001376,-7.21377
228063168,228062997,0.32470918,-0.5938768,-9.692951
228113144,228112980,0.5797932,0.04114413,-10.669424
228163182,228162997,-0.44309443,-0.07769687,-10.355837
228213147,228212979,-0.46955547,-0.01839777,-9.9459305
228263189,228262998,-0.25192654,-0.31173787,-10.214211
228313143,228312979,-0.57728654,-0.03781079,-9.998085
228363170,228362998,-0.5676693,0.3931903,-10.222917
228413145,228412980,0.039282773,-0.031483952,-9.958623
228463148,228462997,-0.4896316,0.023114908,-10.261222
228513159,228512979,-1.8745455,0.059511714,-7.2105093
228563159,228562998,0.41243652,0.6033113,-9.25967
228613129,228612980,0.35544837,0.55138195,-10.026426
228663177,228662998,-0.043930683,0.037004344,-10.406767
228713127,228712979,-0.4911204,-0.56203544,-10.276218
228763150,228762998,-0.5437613,-0.37210697,-9.539641
228813127,228812979,-0.04969756,-0.45392102,-9.834536
228863148,228862997,-0.3891718,-0.3445747,-9.933329
228913139,228912980,-0.11244091,-0.18316631,-9.833893
228963147,228962997,-0.2175407,-0.39063329,-9.731416
229013127,229012979,-1.8497683,-0.4627004,-7.3281026
229063150,229062999,0.72519344,-0.13851598,-9.423108
229113128,229112979,0.38384464,-0.5150761,-10.389853
229163147,229162997,-0.51421946,-0.5549921,-10.403909
229213127,229212979,-0.6189685,-0.11281054,-10.011083
229263161,229262998,-0.34795952,-0.35464588,-9.756667
229313133,229312980,-0.36946222,-0.13085066,-10.291762
229363147,229362997,-1.0717534,0.05542914,-9.925039
229413127,229412979,-0.31722534,-0.54120684,-10.22634
229463188,229462999,-0.38186732,-0.40337935,-10.331719
229513144,229512979,-1.8103964,-0.21081074,-6.996147
229563166,229562997,0.56918204,-0.40093166,-9.446656
229613150,229612980,0.6648168,0.065116964,-10.531615
229663175,229662998,-0.19852652,0.05114725,-10.220377
229713159,229712979,-0.30323192,-0.28418818,-10.406096
229763188,229762999,-0.72137856,-0.09807343,-10.221247
229813148,229812979,-0.5292605,-0.12789808,-9.771445
229863172,229862997,-0.31049293,-0.24853215,-9.802434
229913145,229912980,-0.4296009,-0.013218834,-9.804707
229963196,229962997,-0.43853417,-0.16094504,-9.802209
230013144,230012979,-1.5647186,-0.08819329,-7.0061765
230063188,230062998,0.3006549,-0.33081636,-9.270631
230113144,230112979,0.5859568,-0.29283047,-10.161282
230163168,230162997,-0.39725187,-0.2341613,-10.04859
230213145,230212980,-0.31092688,-0.22837603,-10.08374
230263166,230262998,-0.4555483,-0.17075135,-10.128858
230313145,230312979,-0.44073805,0.034916747,-9.99819
230363189,230363001,-0.49153027,0.14061065,-9.902147
230413149,230412979,-0.5817853,-0.25213683,-9.797355
230463168,230462997,-0.58151245,-0.22943546,-9.877706
230513128,230512979,-0.10385297,-0.2100443,-10.341403
230563148,230562997,-0.49126157,-0.21187234,-10.45254
230613133,230612979,-0.4405267,0.0007599545,-10.207583
230663205,230663026,-0.123181656,-0.19196074,-10.237063
230713128,230712979,0.1225115,0.33700624,-10.226846
230763149,230762998,-1.0542592,0.30915594,-9.903147
230813129,230812980,-0.18408972,0.38037148,-9.486474
230863151,230862997,-0.36084992,0.5023406,-9.686159
230913132,230912979,-1.3432695,-0.10631562,-7.2664466
230963149,230962998,0.42692623,0.30345643,-9.516271
231013134,231012979,-0.22497141,0.19863047,-10.487267
231063147,231062997,-0.20354816,0.30644083,-9.974437
231113128,231112980,-0.47013727,0.16172665,-9.558605
231163150,231162997,-0.8076387,0.20665021,-9.741727
231213132,231212979,-0.32980627,-0.16806258,-10.140631
231263187,231262998,-0.4333746,0.23627923,-9.972986
231313127,231312979,-0.41341478,-0.042973537,-10.051154
231363159,231362998,-0.6517196,0.3759663,-9.498869
231413140,231412980,-0.099681735,0.18621127,-9.910915
231463151,231462998,0.10799722,-0.1971099,-9.8172
231513143,231512979,-0.44442588,-0.1420909,-9.524421
231563165,231562998,-0.24960756,0.28870988,-9.578608
231613144,231612979,-0.077707805,0.14801218,-9.809977
231663167,231662998,-0.23387314,-0.27016523,-9.607657
231713145,231712980,-0.6575055,0.16039309,-10.142499
231763164,231762999,-0.22199638,0.4823282,-10.036033
231813143,231812979,0.14587203,0.024958503,-9.714792
231863187,231862998,-0.2687974,0.20450132,-9.950991
231913165,231912982,-0.2809371,0.06284522,-10.052217
231963168,231962997,-0.18762554,0.398248,-9.584656
232013144,232012980,-0.07201498,0.14048122,-9.703906
232063187,232062997,-0.29533353,-0.25595996,-9.79145
232113151,232112979,-0.6946251,0.065511726,-9.558524
232163163,232162998,-0.43207794,0.3502802,-9.96833
232213144,232212979,0.2391455,0.17118075,-9.675592
232263174,232262998,-0.100107044,0.3079332,-9.793082
232313149,232312979,-0.32515234,0.24814573,-9.715341
232363194,232362997,-0.47163188,-0.43985954,-9.715431
232413145,232412979,-0.3664791,-0.13359746,-9.868184
232463185,232462999,-0.27616578,0.29333717,-9.653519
232513127,232512979,-0.5006804,0.22323576,-9.311823
232563147,232562997,-0.70225984,0.17735744,-9.348341
232613128,232612980,-0.549286,0.03367283,-10.324075
232663148,232662997,-0.13457054,0.09081855,-10.022457
232713127,232712979,-0.25280574,-0.1153949,-10.071026
232763156,232762998,-0.5208293,0.052733835,-10.091207
232813128,232812979,-0.65151584,0.2179412,-9.929863
232863150,232862997,-0.5177498,-0.09832528,-9.779863
232913129,232912980,-0.9486842,0.028651837,-8.471564
232963156,232962998,0.20170946,-0.33064845,-9.931863
233013127,233012979,0.031420514,-0.21903533,-10.089177
233063154,233062998,-0.37219423,-0.14197233,-9.963972
233113127,233112979,-0.45830286,-0.29730323,-9.94123
233163146,233162997,-0.513064,-0.5682252,-9.829144
233213129,233212980,-0.47178447,-0.22508805,-10.018814
233263148,233262997,-0.30391344,-0.19797543,-10.037265
233313127,233312979,-0.2653987,-0.09997819,-10.076591
233363150,233362997,-0.15739551,-0.01611879,-10.02369
233413129,233412980,-0.076288946,0.12806572,-9.548364
233463159,233462998,-0.42232078,-0.080122225,-9.994595
233513079,233512979,-1.7511141,0.0003382475,-7.418485
233563163,233562997,0.6616756,-0.43084425,-9.449956
233613144,233612980,0.16798732,0.02100258,-10.095172
233663162,233662997,-0.101295896,-0.7215744,-10.505151
233713144,233712980,-0.19537911,-0.1952964,-10.105199
233763166,233762997,-0.17723031,-0.65008366,-9.817751
233813144,233812979,-0.43608892,-0.2071721,-9.973834
233863190,233862998,-0.49077526,-0.45375022,-9.673933
233913149,233912980,-0.34181437,-0.17185245,-9.916438
233963220,233963027,-0.39526847,0.15010512,-9.929914
234113144,234112980,-0.14662263,-0.13478038,-9.923369
234163186,234162997,-0.29700693,-0.008003935,-9.997824
234213147,234212981,-0.19752815,0.2178928,-9.784641
234263165,234262997,-0.41314194,0.25743365,-9.6293125
234313149,234312979,-0.6135091,0.092750944,-9.521924
234363166,234362997,-0.30940017,0.28021482,-9.585014
234413149,234412979,-0.3305366,0.046991885,-9.3686905
234763155,234762998,-0.12476964,-0.18853493,-9.894143
234813132,234812979,-1.6734353,0.10600984,-7.391313
234863155,234862997,0.5708271,0.1728926,-9.280478
234913129,234912979,0.50503564,0.27034056,-10.7786
234963150,234962999,-0.090641275,-0.023609482,-10.0004635
235013127,235012979,-0.46479288,0.17106982,-10.358601
235063152,235062997,-0.61175394,-0.14785784,-9.756614
235113133,235112980,-2.1996484,0.34958327,-7.4027143
235163147,235162998,0.51622057,0.19340764,-9.779521
235213128,235212980,0.1966166,0.41210565,-10.393763
235263152,235262997,-0.22118533,0.54144436,-10.262149
235313132,235312979,-1.4449703,-0.036853712,-8.446425
235363146,235362997,0.2839367,0.098524846,-10.0039
235413130,235412979,-0.03331023,-0.20277163,-10.357552
235463157,235462999,-0.08808287,-0.11338799,-10.409979
235513131,235512979,0.3344817,-0.08522533,-10.150785
235563166,235562997,-0.23318787,0.099530734,-10.222131
235613144,235612979,-0.37530696,0.048969895,-10.242884
235663163,235662997,-0.4328609,-0.07622803,-9.764016
235713143,235712979,-0.30254456,0.1166354,-10.038197
235763189,235762998,-0.22831996,0.029813295,-9.949558
235813145,235812979,-1.3191748,0.032499712,-7.2716928
235863166,235862997,0.5403097,-0.0882449,-9.5817375
235913144,235912979,0.42863917,0.07734645,-10.102254
235963162,235962997,-0.27352187,0.31050405,-10.383838
236063189,236062998,-0.083168484,0.24011171,-9.8054285
236113144,236112979,-0.37484944,0.43677187,-10.129577
236163174,236162997,-0.44813466,0.28286195,-9.818097
236213145,236212980,-0.32884455,0.20919101,-10.104159
236263165,236262998,-0.24505188,0.47641048,-10.050766
236313148,236312979,-1.7657075,-0.260712,-7.364155
236363162,236362997,0.73771703,0.44971702,-9.588066
236413150,236412979,0.4033182,-0.110076636,-10.088232
236463185,236462998,-0.34660545,0.0279792,-10.254672
236513143,236512979,-0.4324261,0.22265308,-10.461758
236563146,236562997,-0.40664068,0.23497684,-10.154726
236613129,236612980,-0.2814694,0.013331599,-10.182579
236663146,236662997,-0.17841813,0.21579558,-9.89931
236713129,236712980,-0.20712808,0.25603026,-9.998851
236763151,236762997,-0.3037627,0.13693757,-10.23541
236813135,236812984,-1.606232,0.4014386,-7.623069
236863153,236862997,-0.015680762,0.18073697,-9.485936
236913128,236912979,0.27727205,-0.2834071,-10.046891
236963146,236962997,0.11021232,-0.020430556,-10.163732
237013133,237012979,-0.37126857,0.18720789,-9.827065
237063163,237062998,-0.5818404,0.22584523,-9.771313
237113129,237112979,-0.60478073,0.09560381,-9.880868
237163147,237162998,-0.24801104,-0.11411088,-10.055233
237213128,237212980,-0.241461,0.17564827,-10.036621
237263190,237263025,-0.3787048,0.41472703,-10.158707
237313128,237312979,-0.42326787,0.5451879,-9.484441
237363147,237362998,-0.55914736,0.16514033,-9.831469
237413128,237412980,0.118239395,0.1641363,-9.581686
237463153,237462997,-0.04288197,0.17591834,-9.619355
237513132,237512979,-0.45023206,0.14902265,-9.706091
237713148,237712979,-0.24756482,0.31187543,-10.11609
237763189,237762998,0.00660627,-0.07890902,-9.392795
237813144,237812980,-0.035386823,0.59283894,-9.3437
237863163,237862997,-0.11251891,-0.0071274857,-9.683099
237913157,237912984,-0.030019574,0.11001157,-10.073631
237963177,237963000,-0.23405588,0.24663565,-10.113093
238013144,238012979,-0.37891588,0.320945,-9.732244
238063165,238062999,-0.3160088,0.22603662,-10.119913
238113146,238112979,-0.14778775,-0.048698526,-9.856267
238163163,238162997,-0.054840527,0.04887827,-9.873644
238213149,238212979,0.20557287,0.4874889,-10.101383
238263178,238262999,-0.30815035,0.19594423,-9.953738
238313143,238312979,0.050296295,0.5544547,-9.083451
238363162,238362997,-0.111168556,0.062414158,-9.807837
238413149,238412980,-0.4958623,-0.56659573,-10.234381
238463183,238462997,0.031126888,-0.023658238,-10.110132
238513149,238512979,-0.35635468,0.1638769,-10.141801
238563174,238562998,-0.53804815,0.12634513,-10.039203
238613128,238612979,-0.26103067,-0.24475212,-9.620899
238663153,238662998,-0.4344359,-0.29029644,-9.313522
238713128,238712979,-0.3312456,0.4654482,-8.579518
238763148,238762998,-0.14880697,-0.7302534,-9.256358
238813129,238812980,-0.17925581,0.057240378,-9.091416
238863148,238862997,-0.031023253,-0.43989873,-9.66043
238913130,238912981,-0.24512807,-0.09585957,-9.908087
238963155,238962998,-0.16026287,-0.046554644,-10.423894
239013127,239012979,-0.044255804,0.34787762,-10.154089
239063188,239062998,-0.1271025,-0.04315397,-10.080718
239113127,239112979,0.02012344,0.024901565,-10.087547
239163152,239162997,-0.21727814,0.35742238,-9.936154
239213128,239212980,-0.420166,0.74677235,-8.858878
239263146,239262997,-0.5585929,0.82602143,-6.7390995
239313132,239312979,-0.1431361,-0.67397666,-6.392873
