timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],accel_priority[0],accel_priority[1],accel_priority[2],accel_priority[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3],gyro_priority[0],gyro_priority[1],gyro_priority[2],gyro_priority[3]
322466960,3407898,3407898,3407890,3407882,0,0.04491615,0.17729199,0.15461777,0.0,3407898,3407898,3407890,3407882,0,0.0035832506,0.003065452,0.0038404267,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
322666985,3407898,3407898,3407890,3407882,0,0.14002196,0.13495776,0.048519533,0.0,3407898,3407898,3407890,3407882,0,0.0033603862,0.004763722,0.0022800888,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
322866959,3407898,3407898,3407890,3407882,0,0.21731253,0.19747937,0.14794616,0.0,3407898,3407898,3407890,3407882,0,0.00427103,0.0052488293,0.0016841533,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
323066953,3407898,3407898,3407890,3407882,0,0.14359513,0.05361927,0.10782569,0.0,3407898,3407898,3407890,3407882,0,0.0033503473,0.00230747,0.0025506169,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
323266938,3407898,3407898,3407890,3407882,0,0.17603393,0.2419734,0.2386511,0.0,3407898,3407898,3407890,3407882,0,0.0029576921,0.004363416,0.0047352775,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
323466941,3407898,3407898,3407890,3407882,0,0.05308464,0.056624733,0.04696054,0.0,3407898,3407898,3407890,3407882,0,0.00097022706,0.0016471179,0.0021859158,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
323666938,3407898,3407898,3407890,3407882,0,0.09667583,0.18075877,0.17612019,0.0,3407898,3407898,3407890,3407882,0,0.0013742065,0.0046694432,0.0034614445,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
323866973,3407898,3407898,3407890,3407882,0,0.15282135,0.14069803,0.10542463,0.0,3407898,3407898,3407890,3407882,0,0.0050199786,0.0032797342,0.0025217417,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
324066956,3407898,3407898,3407890,3407882,0,0.04469175,0.09287536,0.06042668,0.0,3407898,3407898,3407890,3407882,0,0.00089175795,0.0016906947,0.0016585271,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
324466954,3407898,3407898,3407890,3407882,0,0.04830015,0.07267165,0.1049335,0.0,3407898,3407898,3407890,3407882,0,0.0006033269,0.0013514463,0.0010805505,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
324666989,3407898,3407898,3407890,3407882,0,0.10596081,0.07888837,0.064189665,0.0,3407898,3407898,3407890,3407882,0,0.0034806882,0.0029600973,0.0011954663,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
324866963,3407898,3407898,3407890,3407882,0,0.11188814,0.12514614,0.058149192,0.0,3407898,3407898,3407890,3407882,0,0.0017979295,0.001982333,0.0020136633,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
325066947,3407898,3407898,3407890,3407882,0,0.083652444,0.10501048,0.15710384,0.0,3407898,3407898,3407890,3407882,0,0.0025096994,0.0028445206,0.0022496562,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
325266937,3407898,3407898,3407890,3407882,0,0.06910688,0.078679144,0.09004185,0.0,3407898,3407898,3407890,3407882,0,0.0017222239,0.0017986259,0.0011094225,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
325466949,3407898,3407898,3407890,3407882,0,0.067184106,0.08769076,0.13428506,0.0,3407898,3407898,3407890,3407882,0,0.0016341863,0.002608744,0.0010861544,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
325666960,3407898,3407898,3407890,3407882,0,0.060990274,0.10203185,0.11468165,0.0,3407898,3407898,3407890,3407882,0,0.00212523,0.0022999258,0.0028299016,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
325866960,3407898,3407898,3407890,3407882,0,0.08932528,0.13118513,0.11719314,0.0,3407898,3407898,3407890,3407882,0,0.0026695274,0.0015415313,0.0019068725,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
326066956,3407898,3407898,3407890,3407882,0,0.083859526,0.15095164,0.10465034,0.0,3407898,3407898,3407890,3407882,0,0.0049565732,0.0033458874,0.0032923075,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
326266955,3407898,3407898,3407890,3407882,0,0.09194155,0.0706958,0.022633791,0.0,3407898,3407898,3407890,3407882,0,0.003810314,0.006840347,0.003625063,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
326466960,3407898,3407898,3407890,3407882,0,0.052683778,0.05655097,0.071637996,0.0,3407898,3407898,3407890,3407882,0,0.0016055497,0.0017228237,0.0012496056,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
326666956,3407898,3407898,3407890,3407882,0,0.093377344,0.097947955,0.1588453,0.0,3407898,3407898,3407890,3407882,0,0.0013416775,0.001916734,0.001603171,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
326866954,3407898,3407898,3407890,3407882,0,0.022531895,0.11198663,0.11397534,0.0,3407898,3407898,3407890,3407882,0,0.002556021,0.0022844572,0.0029486534,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
327066940,3407898,3407898,3407890,3407882,0,0.06808743,0.13496572,0.123516314,0.0,3407898,3407898,3407890,3407882,0,0.0022844395,0.0026311863,0.001212135,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
327266940,3407898,3407898,3407890,3407882,0,0.10543978,0.13445197,0.09430021,0.0,3407898,3407898,3407890,3407882,0,0.0012671029,0.0015206954,0.0021532555,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
327467011,3407898,3407898,3407890,3407882,0,0.14607705,0.07956767,0.08743699,0.0,3407898,3407898,3407890,3407882,0,0.003018553,0.002996257,0.0018894533,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
