timestamp,timestamp_last_signal,rssi,rssi_dbm,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],channel_count,rc_failsafe,rc_lost,input_source,link_quality
223055160,223055141,-1,-46.0,0,0,0,1500,1500,1656,1500,1988,1000,1000,1000,1000,1000,1499,1500,1500,1000,1959,2000,0,0,16,0,0,14,96
223555293,223555272,-1,-46.0,0,0,0,1500,1500,1657,1500,1988,1000,1000,1000,1000,1000,1499,1500,1500,1000,1959,2000,0,0,16,0,0,14,96
224055347,224055326,-1,-46.0,0,0,0,1500,1500,1658,1500,1988,1000,1000,1000,1000,1000,1499,1500,1500,1000,1959,2000,0,0,16,0,0,14,96
224555200,224555139,-1,-46.0,0,0,0,1500,1500,1657,1500,1988,1000,1000,1000,1000,1000,1499,1500,1500,1000,1959,2000,0,0,16,0,0,14,96
225055130,225055110,-1,-46.0,0,0,0,1500,1500,1657,1500,1988,1000,1000,1000,1000,1000,1499,1500,1500,1000,2000,2000,0,0,16,0,0,14,100
225555248,225555211,-1,-47.0,0,0,0,1500,1500,1658,1499,1988,1000,1000,1000,1000,1000,1499,1500,1500,1000,2000,2000,0,0,16,0,0,14,100
226055204,226055184,-1,-48.0,0,0,0,1500,1500,1657,1499,1988,1000,1000,1000,1000,1000,1499,1500,1500,1000,1990,2000,0,0,16,0,0,14,99
226555133,226555114,-1,-48.0,0,0,0,1500,1500,1657,1499,1988,1000,1000,1000,1000,1000,1499,1500,1500,1000,1959,2000,0,0,16,0,0,14,96
227055160,227055140,-1,-49.0,0,0,0,1500,1500,1657,1499,1988,1000,1000,1000,1000,1000,1499,1500,1500,1000,1959,2000,0,0,16,0,0,14,96
227555098,227555078,-1,-49.0,0,0,0,1500,1500,1656,1500,1988,1000,1000,1000,1000,1000,1499,1500,1500,1000,1959,2000,0,0,16,0,0,14,96
228055322,228055303,-1,-50.0,0,0,0,1499,1500,1657,1500,1988,1000,1000,1000,1000,1000,1499,1500,1500,1000,1969,2000,0,0,16,0,0,14,97
228552455,228552432,-1,-50.0,0,0,0,1500,1500,1658,1500,1988,1000,1000,1000,1000,1000,1499,1500,1500,1000,2000,2000,0,0,16,0,0,14,100
229055238,229055204,-1,-50.0,0,0,0,1500,1500,1657,1499,1988,1000,1000,1000,1000,1000,1499,1500,1500,1000,2000,2000,0,0,16,0,0,14,100
