timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],gyro_clipping[0],gyro_clipping[1],gyro_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,delta_angle_coning_metric,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],var_accel[0],var_accel[1],var_accel[2],var_gyro[0],var_gyro[1],var_gyro[2],temperature_accel,temperature_gyro
228965802,3407882,3407882,0,0,0,0,0,0,0,0,800.0003,800.0003,6410.9067,6410.9067,4.111417,0.07141631,7.072197e-08,-0.46448836,-0.22476503,-9.489037,-0.0015224181,0.042634122,-0.14203762,145.13359,43.27639,164.12465,0.06999044,0.056877416,0.007859747,23.767262,23.767262
230000803,3407882,3407882,0,0,0,0,0,0,0,0,800.0003,800.0003,6410.894,6410.894,4.009473,0.073366754,3.3287e-08,-0.43588686,-0.134414,-9.59405,-0.043461014,0.043270186,-0.061016835,55.014675,26.410652,155.96037,0.07971183,0.027029576,0.0095324535,23.768593,23.768593
230945802,3407882,3407882,0,0,0,0,0,0,0,0,800.0003,800.0003,6410.8843,6410.8843,4.098163,0.07504692,1.0449865e-07,-0.6812707,-0.059034128,-8.476277,0.10425535,0.21178441,0.030059936,208.69142,46.19668,233.09003,0.054112542,0.17181703,0.0034386227,23.725088,23.725088
231990803,3407882,3407882,0,0,0,0,0,0,0,0,800.0003,800.0003,6410.8857,6410.8857,3.762452,0.069175825,3.6765865e-08,-0.32263064,0.16662706,-9.611548,-0.085563816,0.033080295,-0.003415299,181.24284,63.47569,191.08604,0.060460117,0.084071994,0.00773329,23.730076,23.730076
232935805,3407882,3407882,0,0,0,0,0,0,0,0,800.0003,800.0003,6410.889,6410.889,3.7004554,0.06676616,5.3767828e-08,-0.59096766,0.00043768622,-9.242519,-0.034077562,0.15333751,-0.07700893,88.14856,33.922836,93.13996,0.040538333,0.059734717,0.00303323,23.731619,23.731619
234925801,3407882,3407882,0,0,0,0,0,0,0,0,800.0003,800.0003,6410.8965,6410.8965,3.7108808,0.06850438,1.1584057e-07,-0.035712704,0.27401823,-9.462931,-0.016656697,0.34074947,0.01322893,90.648285,45.930187,86.35359,0.034395374,0.17319694,0.004351003,23.685556,23.685556
235970808,3407882,3407882,0,0,0,0,0,0,0,0,800.0003,800.0003,6410.8833,6410.8833,3.9115865,0.07218452,6.1994264e-08,0.123049594,0.18927638,-9.9864855,0.06795365,0.023711296,0.11202421,74.38648,38.33166,104.50763,0.042668723,0.08151681,0.0057373554,23.67814,23.67814
236910802,3407882,3407882,0,0,0,0,0,0,0,0,800.0003,800.0003,6410.881,6410.881,4.039116,0.07569153,1.623981e-07,-0.29733685,0.15605038,-8.96915,0.11465189,0.39003408,0.029202122,129.39655,77.70848,91.37102,0.06823336,0.14733784,0.006684181,23.673435,23.673435
237960806,3407882,3407882,0,0,0,0,0,0,0,0,800.00024,800.00024,6410.8643,6410.8643,3.65683,0.064184144,3.4275647e-08,-0.14707191,0.25420943,-9.718426,-0.025491253,-0.04378907,0.0349411,69.44574,66.04122,136.37383,0.069589116,0.030255003,0.0048703784,23.65975,23.65975
238900803,3407882,3407882,0,0,0,0,0,0,0,0,800.00024,800.00024,6410.8745,6410.8745,3.6072657,0.06366165,7.245195e-08,-0.12668052,-0.013225436,-9.279373,0.14699507,0.0071117356,-0.05070917,86.25369,56.465893,177.53716,0.06850889,0.05572655,0.005454343,23.655882,23.655882
