timestamp,armed_time,takeoff_time,nav_state_timestamp,valid_nav_states_mask,can_set_nav_states_mask,failure_detector_status,arming_state,latest_arming_reason,latest_disarming_reason,nav_state_user_intention,nav_state,executor_in_charge,hil_state,vehicle_type,failsafe,failsafe_and_user_took_over,failsafe_defer_state,gcs_connection_lost,gcs_connection_lost_counter,high_latency_data_link_lost,is_vtol,is_vtol_tailsitter,in_transition_mode,in_transition_to_fw,system_type,system_id,component_id,safety_button_available,safety_off,power_input_valid,usb_connected,open_drone_id_system_present,open_drone_id_system_healthy,parachute_system_present,parachute_system_healthy,avoidance_system_required,avoidance_system_valid,rc_calibration_in_progress,calibration_enabled,pre_flight_checks_pass
221258890,199999074,204037170,6934939,2147411071,8307839,0,2,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
221764890,199999074,204037170,6934939,2147411071,8307839,0,2,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
222270920,199999074,204037170,6934939,2147411071,8307839,0,2,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
222777090,199999074,204037170,6934939,2147411071,8307839,0,2,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
223282922,199999074,204037170,6934939,2147411071,8307839,0,2,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
223788887,199999074,204037170,6934939,2147411071,8307839,0,2,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
224294890,199999074,204037170,6934939,2147411071,8307839,0,2,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
224800888,199999074,204037170,6934939,2147411071,8307839,0,2,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
225307211,199999074,204037170,6934939,2147411071,8307839,0,2,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
225812888,199999074,204037170,6934939,2147411071,8307839,0,2,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
225879463,199999074,204037170,6934939,2147411071,8307839,0,2,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
226384911,199999074,204037170,6934939,2147411071,8307839,0,2,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
226890905,199999074,204037170,6934939,2147411071,8307839,0,2,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
227397129,199999074,204037170,6934939,2147411071,8307839,0,2,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
227902919,199999074,204037170,6934939,2147411071,8307839,0,2,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
228409046,199999074,204037170,6934939,2147411071,8307839,0,2,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
228914911,199999074,204037170,6934939,2147411071,8307839,0,2,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
229420888,199999074,204037170,6934939,2147411071,8307839,0,2,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
229927175,199999074,204037170,6934939,2147411071,8307839,0,2,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
230432890,199999074,204037170,6934939,2147411071,8307839,0,2,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
230939118,199999074,204037170,6934939,2147411071,8307839,0,2,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
231444912,199999074,204037170,6934939,2147411071,8307839,0,2,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
231951068,199999074,204037170,6934939,2147411071,8307839,0,2,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
232457084,199999074,204037170,6934939,2147411071,8307839,0,2,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
232962910,199999074,204037170,6934939,2147411071,8307839,0,2,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
233469048,199999074,204037170,6934939,2147411071,8307839,0,2,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
233974890,199999074,204037170,6934939,2147411071,8307839,0,2,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
234987213,199999074,204037170,6934939,2147411071,8307839,0,2,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
235492891,199999074,204037170,6934939,2147411071,8307839,0,2,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
235999129,199999074,204037170,6934939,2147411071,8307839,0,2,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
236504905,199999074,204037170,6934939,2147411071,8307839,0,2,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
237010925,199999074,204037170,6934939,2147411071,8307839,0,2,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
237517093,199999074,204037170,6934939,2147411071,8307839,0,2,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
238022890,199999074,204037170,6934939,2147411071,8307839,0,2,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
238529912,199999074,204037170,6934939,2147411071,8307839,0,2,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
239036359,199999074,204037170,6934939,2147411071,8307839,0,2,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
239168155,199999074,204037170,239167880,2147411071,8307839,0,2,1,0,14,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
239674000,199999074,204037170,239167880,2147411071,8307839,0,2,1,0,14,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
240179890,199999074,204037170,239167880,2147411071,8307839,0,2,1,0,14,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
240686052,199999074,204037170,239167880,2147411071,8307839,0,2,1,0,14,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
241192434,199999074,204037170,239167880,2147411071,8307839,0,2,1,0,14,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
241698371,199999074,204037170,239167880,2147411071,8307839,0,2,1,0,14,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
242204258,199999074,204037170,239167880,2147411071,8307839,0,2,1,0,14,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
242709888,199999074,204037170,239167880,2147411071,8307839,0,2,1,0,14,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
