timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],flow[0],flow[1],terr_flow[0],terr_flow[1],heading,mag_field[0],mag_field[1],mag_field[2],gravity[0],gravity[1],gravity[2],drag[0],drag[1],airspeed,beta,hagl,hagl_rate
300532160,300341729,-0.44984627,-0.013680637,-0.23140526,-2.7198088,-0.011813164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.42904472,0.0,0.0,0.0,0.0,0.0,0.0,0.0006416834,0.0006416834,-6.262213e-05,-0.00060135126,0.045168407,0.095814124,-0.0019559264,0.0,0.0,0.0,0.0,0.0,0.0
301032211,300841729,-0.5186877,-0.25213805,-0.07216966,-3.020213,-0.08209038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14816093,0.0,0.0,0.0,0.0,0.0,0.0,0.0023107901,0.0010936395,0.0023107901,-0.0016400814,0.46560585,0.16490059,-0.1331914,0.0,0.0,0.0,0.0,0.0,0.0
301532192,301341729,-0.47277927,-0.008254468,-0.10327488,-3.3076115,-0.06102085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58465767,0.0,0.0,0.0,0.0,0.0,0.0,0.0014777563,0.0014777563,0.00010754913,-0.0012412965,0.2617784,0.0047683516,-0.031760693,0.0,0.0,0.0,0.0,0.0,0.0
302032331,301841729,-0.3924017,0.07687983,-0.07225108,-3.5161347,0.0060300827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18884468,0.0,0.0,0.0,0.0,0.0,0.0,0.0016378388,0.0012712553,0.0016378388,0.00083461404,0.14947979,-0.007894922,-0.011412263,0.0,0.0,0.0,0.0,0.0,0.0
302532199,302341729,-0.49123013,-0.17901705,-0.122305036,-3.7780094,-0.021074295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016526768,0.0016526768,0.00013716519,-0.00068214536,-0.18690716,-0.05336166,-0.018676639,0.0,0.0,0.0,0.0,0.0,0.0
303032209,302841729,-0.4852382,0.09359986,-0.019016743,-3.99473,0.05257225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027240813,0.0010365391,0.00060650706,0.0027240813,-0.41162503,-0.044474076,-0.09114814,0.0,0.0,0.0,0.0,0.0,0.0
303532167,303341729,-0.67001176,-0.0035690218,-0.12876546,-4.2176094,0.07772446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18703842,0.0,0.0,0.0,0.0,0.0,0.0,0.0016083199,0.0016083199,8.679181e-05,0.00013947487,0.53729963,0.10861676,-0.16347146,0.0,0.0,0.0,0.0,0.0,0.0
304032221,303841729,-0.23077345,0.36009896,-0.100037694,-4.207424,0.14704227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013193114,0.0013193114,-0.0014586821,-0.00040006638,-0.004544921,0.16754581,-0.011048615,0.0,0.0,0.0,0.0,0.0,0.0
305032168,304841729,-0.47570747,0.014938414,-0.21988797,-4.5668907,0.1492796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013254881,0.00046198067,0.00010565668,0.0013254881,0.19367865,0.13741966,-0.026764989,0.0,0.0,0.0,0.0,0.0,0.0
305532220,305341729,-0.64045393,0.08883862,-0.1866138,-4.84356,0.18923855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006098274,0.0006098274,-0.00084781647,0.00016376376,-0.07215142,0.098945476,-0.008654892,0.0,0.0,0.0,0.0,0.0,0.0
