timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
232550811,232550671,-0.57001215,0.023477297,0.005290231,0.82128376,0.9998223,-7.518711e-10,-7.540098e-10,-0.018850928,3
233050809,233050671,-0.5593843,0.024115335,-0.0062229354,0.8285343,0.9998223,-7.518711e-10,-7.540098e-10,-0.018850928,3
233550810,233550671,-0.54183656,-0.0013240263,0.00034433696,0.8404828,0.9998223,-7.518711e-10,-7.540098e-10,-0.018850928,3
235050810,235050671,-0.5719532,0.019031148,0.0114456555,0.8199856,0.9998223,-7.518711e-10,-7.540098e-10,-0.018850928,3
235550810,235550671,-0.5641699,0.044816833,0.012728639,0.82434326,0.9998223,-7.518711e-10,-7.540098e-10,-0.018850928,3
236050808,236050671,-0.5843674,0.012291116,0.009563763,0.81133986,0.9998223,-7.518711e-10,-7.540098e-10,-0.018850928,3
236550808,236550671,-0.5642297,0.024107294,-0.011938977,0.8251795,0.9998223,-7.518711e-10,-7.540098e-10,-0.018850928,3
237050809,237050671,-0.56069607,0.019776316,0.0068801064,0.8277569,0.9998223,-7.518711e-10,-7.540098e-10,-0.018850928,3
237550831,237550671,-0.5690332,0.025851589,-0.0072304504,0.82187635,0.9998223,-7.518711e-10,-7.540098e-10,-0.018850928,3
238050806,238050671,-0.5814607,0.01981201,-0.009943042,0.8132725,0.9998223,-7.518711e-10,-7.540098e-10,-0.018850928,3
238550834,238550689,-0.57779115,0.017564926,-0.009058649,0.81594545,0.9998223,-7.518711e-10,-7.540098e-10,-0.018850928,3
239050827,239050671,-0.5714379,0.0118793845,-0.00255616,0.8205554,0.9998223,-7.518711e-10,-7.540098e-10,-0.018850928,3
239550811,239550671,-0.55421627,-0.11439466,0.11005591,0.81709605,0.9998223,-7.518711e-10,-7.540098e-10,-0.018850928,3
240050824,240050671,-0.54777914,-0.039308276,0.04611237,0.83442587,0.9998223,-7.518711e-10,-7.540098e-10,-0.018850928,3
240550817,240550671,-0.54616463,0.009609124,0.014415012,0.83749884,0.9998223,-7.518711e-10,-7.540098e-10,-0.018850928,3
241050817,241050671,-0.5486143,0.038584076,-0.018017614,0.8349905,0.9998223,-7.518711e-10,-7.540098e-10,-0.018850928,3
241550814,241550671,-0.5536337,0.049277157,-0.023129271,0.8309793,0.9998223,-7.518711e-10,-7.540098e-10,-0.018850928,3
242050812,242050671,-0.5612008,0.052614693,-0.026995955,0.82556444,0.9998223,-7.518711e-10,-7.540098e-10,-0.018850928,3
242550814,242550671,-0.56860805,0.04079505,-0.009420675,0.82154244,0.9998223,-7.518711e-10,-7.540098e-10,-0.018850928,3
243050812,243050671,-0.5588895,0.028225945,-0.009764807,0.82870406,0.9998223,-7.518711e-10,-7.540098e-10,-0.018850928,3
243550818,243550671,-0.5491741,0.13192445,-0.075638026,0.8217559,0.9998223,-7.518711e-10,-7.540098e-10,-0.018850928,3
244050811,244050671,-0.5662284,0.03424133,-0.014978984,0.8234007,0.9998223,-7.518711e-10,-7.540098e-10,-0.018850928,3
