timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_type_parachute,heartbeat_type_open_drone_id,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_obstacle_avoidance,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,avoidance_system_healthy,open_drone_id_system_healthy,parachute_system_healthy
236975129,1200.0,0.39491013,1332.9706,0.0,5961,0,547.9879,6014,123,0,0,2,0.020452278,0,0,1,1,1,1,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237915127,1200.0,0.39491013,850.51355,0.0,5980,0,339.61133,6033,133,0,0,2,0.022045417,0,0,1,1,1,1,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238915199,1200.0,0.39491013,974.9405,0.0,6002,0,662.95953,6057,133,0,0,2,0.021958064,0,0,1,1,1,1,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239924962,1200.0,0.39491013,1185.2201,0.0,6032,0,476.26642,6081,139,0,0,2,0.022858083,0,0,1,1,1,1,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241045027,1200.0,0.39491013,1044.6876,0.0,6057,0,432.87057,6104,146,0,0,2,0.023918742,0,0,1,1,1,1,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242055328,1200.0,0.39491013,1297.4138,0.0,6091,0,474.39786,6117,159,0,0,2,0.025993133,0,0,1,1,1,1,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242064987,1200.0,0.39491013,1297.4138,0.0,6091,0,474.39786,6119,159,0,0,2,0.025984637,0,0,1,1,1,1,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243904962,1200.0,0.39491013,965.3943,0.0,6132,0,476.26117,6162,169,0,0,2,0.02742616,0,0,1,1,1,1,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244965064,1200.0,0.39491013,1172.2262,0.0,6161,0,565.3219,6189,171,0,0,2,0.027629666,0,0,1,1,1,1,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245934962,1200.0,0.39491013,1017.75275,0.0,6186,0,524.8725,6213,173,0,0,2,0.02784484,0,0,1,1,1,1,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246895238,1200.0,0.39491013,939.8497,0.0,6218,0,588.2726,6236,176,0,0,2,0.02822322,0,0,1,1,1,1,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247985017,1200.0,0.39491013,1217.5251,0.0,6239,0,428.60846,6257,184,0,0,2,0.029407063,0,0,1,1,1,1,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249904962,1200.0,0.39491013,1183.9503,0.0,6290,0,519.9782,6300,193,0,0,2,0.030634921,0,0,1,1,1,1,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250974960,1200.0,0.39491013,995.08887,0.0,6315,0,479.22687,6321,199,0,0,2,0.03148236,0,0,1,1,1,1,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251975086,1200.0,0.39491013,927.77637,0.0,6349,0,688.834,6348,199,0,0,2,0.031348456,0,0,1,1,1,1,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252895097,1200.0,0.39491013,927.77637,0.0,6365,0,688.834,6365,210,0,0,2,0.03299293,0,0,1,1,1,1,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253955114,1200.0,0.39491013,965.34656,0.0,6391,0,476.23764,6390,213,0,0,2,0.033333335,0,0,1,1,1,1,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254955139,1200.0,0.39491013,1216.8052,0.0,6422,0,497.01886,6408,219,0,0,2,0.03417603,0,0,1,1,1,1,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256035101,1200.0,0.39491013,981.1881,0.0,6447,0,544.55444,6434,223,0,0,2,0.03465962,0,0,1,1,1,1,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257984968,1200.0,0.39491013,1231.7612,0.0,6498,0,509.93332,6482,230,0,0,2,0.035482876,0,0,1,1,1,1,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259015095,1200.0,0.39491013,966.3367,0.0,6522,0,565.34656,6501,236,0,0,2,0.03630211,0,0,1,1,1,1,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259935109,1200.0,0.39491013,966.3367,0.0,6548,0,565.34656,6525,239,0,0,2,0.036628354,0,0,1,1,1,1,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260955129,1200.0,0.39491013,1185.9668,0.0,6573,0,591.9834,6550,242,0,0,2,0.036946565,0,0,1,1,1,1,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
