timestamp,flag_armed,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_position_enabled,flag_control_velocity_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_acceleration_enabled,flag_control_attitude_enabled,flag_control_rates_enabled,flag_control_allocation_enabled,flag_control_termination_enabled,source_id
292182853,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
292282669,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
292381051,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
292480088,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
292579114,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
292678335,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
292777254,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
292975230,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
293074223,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
293173188,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
293283303,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
293371323,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
293481044,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
293580110,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
293679114,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
293778356,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
293877314,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
293976340,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
294075197,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
294174296,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
294284249,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
294383269,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
294482621,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
294581050,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
294779110,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
294878347,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
294977232,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
295076309,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
295175164,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
295274266,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
295373197,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
295483308,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
295582670,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
295681068,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
295780125,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
295879115,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
295978353,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
296077274,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
296176299,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
296374207,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
296583310,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
296682815,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
296781055,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
296880104,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
296979145,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
297078403,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
297177269,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
297276356,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
297375373,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
297474607,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
297573237,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
297683266,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
297782626,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
297881048,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
297980085,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
298178340,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
298277300,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
298377301,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
298476771,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
298575193,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
298674138,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
298773228,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
298883278,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
298982571,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
299081063,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
299180110,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
299279126,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
299378336,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
299477271,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
299576280,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
299675166,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
299774136,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
299873151,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
299983258,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
300082625,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
300181042,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
300280125,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
300379135,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
300478319,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
300577283,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
300676306,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
300775163,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
300874439,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
300973186,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
301083307,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
301182726,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
301281075,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
301380086,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
301479126,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
301578336,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
301677507,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
301776309,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
301875195,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
301974607,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
302073197,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
302183288,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
302282724,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
302381044,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
302480086,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
302579157,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
302876421,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
302975149,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
303074464,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
303173165,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
303283312,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
303382587,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
303481053,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
303580086,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
303679108,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
303778321,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
303877274,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
303976501,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
304075269,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
304174131,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
304273155,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
304383264,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
