timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2],samples
239009999,239009918,3407890,-4.0904937,0.55725044,-6.579266,22.871376,0,0,0,0,8
240009999,240009919,3407890,-5.801749,7.3406224,-24.053347,22.705315,0,0,0,0,8
241009999,241009918,3407890,7.3352356,-10.418967,-9.059659,22.826086,0,0,0,0,8
242010010,242009922,3407890,-4.715513,-2.9246502,-12.270549,22.490606,0,0,0,0,9
243010000,243009918,3407890,18.770542,2.5893292,9.284714,22.705315,0,0,0,0,8
244009999,244009918,3407890,0.16160862,12.31278,-18.950705,22.690218,0,0,0,0,8
245010002,245009920,3407890,18.916588,-6.7929487,11.66515,22.735508,0,0,0,0,8
246010003,246009919,3407890,16.422428,-7.0012445,9.2494,22.690218,0,0,0,0,8
247010007,247009918,3407890,-4.278704,-3.9743745,-9.409744,22.60467,0,0,0,0,9
248009999,248009919,3407890,-8.209718,11.657368,-11.4359045,22.637379,0,0,0,0,8
249010000,249009918,3407890,-4.5980644,-6.223727,-9.650429,22.637379,0,0,0,0,8
250009999,250009919,3407890,7.1191587,4.9440265,-3.1950622,22.554348,0,0,0,0,8
251009999,251009919,3407890,-2.8491,7.687183,-12.72997,22.705315,0,0,0,0,8
252010010,252009919,3407890,-8.829816,-18.914192,-17.194624,22.705315,0,0,0,0,9
253010003,253009919,3407890,-6.5122285,-4.908712,-18.272547,22.592089,0,0,0,0,8
254010000,254009919,3407890,-10.05864,-6.652888,-13.338098,22.773249,0,0,0,0,8
255010001,255009919,3407890,-11.215638,17.076643,8.962694,22.629831,0,0,0,0,8
256009998,256009918,3407890,31.462803,7.315483,14.245501,22.660025,0,0,0,0,8
258010003,258009919,3407890,-8.246828,12.146384,-11.096526,22.509058,0,0,0,0,8
259010007,259009925,3407890,-1.4407109,-10.48002,-6.803723,22.501509,0,0,0,0,8
260009999,260009918,3407890,-7.4932528,8.025963,-27.007792,22.524155,0,0,0,0,8
261010000,261009919,3407890,-3.0142999,-8.863335,-31.234158,22.675121,0,0,0,0,8
262010000,262009919,3407890,-2.1410148,17.208324,-5.8412538,22.584541,0,0,0,0,8
263010000,263009919,3407890,-1.3132197,7.8571715,-12.273276,22.569445,0,0,0,0,8
264010003,264009920,3407890,36.206913,-2.7252002,7.0263834,22.463768,0,0,0,0,8
265010010,265009919,3407890,3.7743258,4.684654,9.556588,22.483896,0,0,0,0,9
266010004,266009923,3407890,-15.469536,0.9223662,-20.47641,22.644928,0,0,0,0,8
267010003,267009919,3407890,-4.496909,3.6290112,-29.430126,22.448671,0,0,0,0,8
268010002,268009919,3407890,19.17995,7.325659,2.432509,22.539251,0,0,0,0,8
269010004,269009923,3407890,0.075417355,-11.948263,8.206126,22.682669,0,0,0,0,8
270010020,270009920,3407890,-0.5783327,-1.307234,-8.817046,22.577831,0,0,0,0,9
271010002,271009919,3407890,1.7848774,16.92102,-3.9151182,22.524155,0,0,0,0,8
272009999,272009919,3407890,-8.491635,0.8858546,-17.96609,22.463768,0,0,0,0,8
273010010,273009920,3407890,16.26461,-0.8166888,-4.0254507,22.42351,0,0,0,0,9
274010001,274009919,3407890,8.437765,14.261661,-3.2357635,22.388285,0,0,0,0,8
275009999,275009919,3407890,-1.7244238,8.151658,-5.6616883,22.45622,0,0,0,0,8
276010003,276009920,3407890,19.846136,10.575189,-5.380968,22.509058,0,0,0,0,8
277010007,277009922,3407890,4.5441947,11.027095,-20.518309,22.478865,0,0,0,0,8
278010010,278009919,3407890,-2.9480603,5.272564,-18.983358,22.631508,0,0,0,0,9
279010003,279009919,3407890,-15.1295595,-4.1258082,-20.678122,22.516605,0,0,0,0,8
281010011,281009919,3407890,-19.917097,-6.260571,-26.328238,22.43022,0,0,0,0,9
282010000,282009919,3407890,-5.142745,-11.035474,-20.655975,22.463768,0,0,0,0,8
283010002,283009919,3407890,-0.66139823,-7.8966756,-9.116522,22.433575,0,0,0,0,8
284010007,284009926,3407890,16.030378,-3.942053,-17.167624,22.418478,0,0,0,0,8
285010003,285009920,3407890,-81.75121,-35.425804,-19.789274,22.629831,0,0,0,0,8
286010003,286009919,3407890,-38.684315,-5.433641,-2.1362264,22.516605,0,0,0,0,8
